Test Error	Training Error	Valid Error	
 4.3180e-01	 4.9689e-01	 4.2600e-01	
 4.3750e-01	 3.9962e-01	 4.2500e-01	
 3.8860e-01	 3.8289e-01	 3.8960e-01	
 3.6900e-01	 3.8291e-01	 3.5760e-01	
 4.4550e-01	 3.7929e-01	 4.4120e-01	
 4.1740e-01	 3.7813e-01	 4.0720e-01	
 4.0100e-01	 3.7524e-01	 3.9180e-01	
 3.8990e-01	 3.7649e-01	 3.7180e-01	
 3.9850e-01	 3.7651e-01	 3.8900e-01	
 3.9260e-01	 3.7458e-01	 3.7460e-01	
 4.3480e-01	 3.7604e-01	 4.1640e-01	
 4.5290e-01	 3.7411e-01	 4.5620e-01	
 4.4140e-01	 3.7616e-01	 4.2620e-01	
 4.0480e-01	 3.7869e-01	 3.9400e-01	
 4.2460e-01	 3.7560e-01	 4.1120e-01	
 3.8860e-01	 3.7856e-01	 3.8180e-01	
 4.3610e-01	 3.8038e-01	 4.2940e-01	
 3.8830e-01	 3.7889e-01	 3.7340e-01	
 3.8530e-01	 3.7698e-01	 3.8320e-01	
 4.3540e-01	 3.7531e-01	 4.1400e-01	
 3.8820e-01	 3.7740e-01	 3.8040e-01	
 4.4180e-01	 3.7498e-01	 4.2160e-01	
 4.1000e-01	 3.7722e-01	 4.0120e-01	
 4.3650e-01	 3.7376e-01	 4.2480e-01	
 3.8050e-01	 3.7713e-01	 3.7440e-01	
 4.0700e-01	 3.7627e-01	 4.0360e-01	
 4.2190e-01	 3.7662e-01	 4.0020e-01	
 3.8660e-01	 3.7742e-01	 3.7740e-01	
 4.0520e-01	 3.7820e-01	 3.9760e-01	
 4.2740e-01	 3.7600e-01	 4.1680e-01	
 4.2460e-01	 3.8002e-01	 4.1440e-01	
 3.6280e-01	 3.7700e-01	 3.5820e-01	
 3.9890e-01	 3.7351e-01	 3.9140e-01	
 4.2070e-01	 3.7713e-01	 4.1980e-01	
 4.7570e-01	 3.7736e-01	 4.7480e-01	
 3.8030e-01	 3.7773e-01	 3.7660e-01	
 3.9880e-01	 3.7444e-01	 3.9300e-01	
 3.8050e-01	 3.7722e-01	 3.6800e-01	
 3.9300e-01	 3.7753e-01	 3.8660e-01	
 3.9000e-01	 3.7682e-01	 3.7880e-01	
 3.7750e-01	 3.7871e-01	 3.6860e-01	
 3.9960e-01	 3.7438e-01	 3.9460e-01	
 3.7040e-01	 3.7816e-01	 3.6580e-01	
 3.9490e-01	 3.7704e-01	 3.8340e-01	
 4.0980e-01	 3.7609e-01	 3.9640e-01	
 4.3120e-01	 3.7680e-01	 4.1100e-01	
 4.3850e-01	 3.7773e-01	 4.2860e-01	
 4.0240e-01	 3.7662e-01	 3.9040e-01	
 3.9950e-01	 3.7669e-01	 3.9260e-01	
 3.9650e-01	 3.7580e-01	 3.9540e-01	
 3.5090e-01	 3.3527e-01	 3.4660e-01	
 3.6460e-01	 3.2560e-01	 3.5300e-01	
 3.5900e-01	 3.2009e-01	 3.5220e-01	
 3.6820e-01	 3.2289e-01	 3.5780e-01	
 3.8170e-01	 3.2029e-01	 3.6360e-01	
 3.4950e-01	 3.2122e-01	 3.3960e-01	
 3.6710e-01	 3.1958e-01	 3.5500e-01	
