Test Error	Training Error	Valid Error	
 9.5150e-01	 9.7774e-01	 9.3935e-01	
 9.4611e-01	 9.5190e-01	 9.3448e-01	
 9.4611e-01	 9.3896e-01	 9.3448e-01	
 9.4375e-01	 9.3513e-01	 9.3224e-01	
 9.4173e-01	 9.3551e-01	 9.3149e-01	
 9.3567e-01	 9.2868e-01	 9.2699e-01	
 9.3769e-01	 9.2710e-01	 9.2737e-01	
 9.7541e-01	 9.2590e-01	 9.6219e-01	
 9.7474e-01	 9.2432e-01	 9.6219e-01	
 9.7002e-01	 9.1874e-01	 9.7230e-01	
 9.7844e-01	 9.0518e-01	 9.7754e-01	
 9.7474e-01	 9.0493e-01	 9.7417e-01	
 9.7373e-01	 9.0713e-01	 9.7566e-01	
 9.7844e-01	 9.0617e-01	 9.7754e-01	
 9.7474e-01	 9.0601e-01	 9.7417e-01	
 9.7844e-01	 9.0767e-01	 9.7754e-01	
 9.7844e-01	 9.0526e-01	 9.7754e-01	
 9.7642e-01	 9.0447e-01	 9.7454e-01	
 9.7036e-01	 9.0597e-01	 9.7117e-01	
 9.7002e-01	 9.0522e-01	 9.7230e-01	
 9.7844e-01	 9.0759e-01	 9.7754e-01	
 9.7474e-01	 9.0647e-01	 9.7417e-01	
 9.7844e-01	 9.0667e-01	 9.7754e-01	
 9.7844e-01	 9.0692e-01	 9.7754e-01	
 9.7844e-01	 9.0576e-01	 9.7754e-01	
 9.7844e-01	 9.0738e-01	 9.7754e-01	
 9.7844e-01	 9.0526e-01	 9.7754e-01	
 9.7474e-01	 9.0605e-01	 9.7417e-01	
 9.7844e-01	 9.0709e-01	 9.7754e-01	
 9.7844e-01	 9.0688e-01	 9.7754e-01	
 9.7844e-01	 9.0672e-01	 9.7754e-01	
 9.7474e-01	 9.0796e-01	 9.7417e-01	
 9.7373e-01	 9.0484e-01	 9.7566e-01	
 9.7002e-01	 9.0734e-01	 9.7230e-01	
 9.7844e-01	 9.0717e-01	 9.7754e-01	
 9.7844e-01	 9.0551e-01	 9.7754e-01	
 9.7002e-01	 9.0592e-01	 9.7230e-01	
 9.7844e-01	 9.0592e-01	 9.7754e-01	
 9.7002e-01	 9.0605e-01	 9.7230e-01	
 9.7002e-01	 9.0626e-01	 9.7230e-01	
 9.7844e-01	 9.0763e-01	 9.7754e-01	
 9.7474e-01	 9.0613e-01	 9.7417e-01	
 9.7844e-01	 9.0759e-01	 9.7754e-01	
 9.7844e-01	 9.0543e-01	 9.7754e-01	
 9.7844e-01	 9.0592e-01	 9.7754e-01	
 9.7002e-01	 9.0476e-01	 9.7230e-01	
 9.7474e-01	 9.0763e-01	 9.7417e-01	
 9.7844e-01	 9.0534e-01	 9.7754e-01	
 9.7474e-01	 9.0509e-01	 9.7417e-01	
