Test Error	Training Error	Valid Error	
 7.5764e-01	 7.9128e-01	 7.3998e-01	
 7.9694e-01	 6.5600e-01	 7.5456e-01	
 6.4192e-01	 6.2022e-01	 6.0510e-01	
 6.4192e-01	 6.0510e-01	 6.0510e-01	
 6.2118e-01	 5.8431e-01	 5.8202e-01	
 5.9170e-01	 5.6258e-01	 5.4070e-01	
 5.6987e-01	 5.3746e-01	 5.1397e-01	
 4.7817e-01	 5.0506e-01	 4.4350e-01	
 5.8079e-01	 4.6362e-01	 5.6258e-01	
 3.3843e-01	 3.8626e-01	 3.3171e-01	
 3.3406e-01	 3.3846e-01	 3.2442e-01	
 3.4716e-01	 3.3630e-01	 3.3779e-01	
 3.2642e-01	 3.3401e-01	 3.1106e-01	
 3.0786e-01	 3.3927e-01	 3.0134e-01	
 3.2533e-01	 3.4535e-01	 3.2078e-01	
 3.1878e-01	 3.4022e-01	 3.1956e-01	
 3.0568e-01	 3.3266e-01	 3.0498e-01	
 3.1659e-01	 3.3684e-01	 3.1227e-01	
 3.1550e-01	 3.3846e-01	 3.0134e-01	
 3.0459e-01	 3.4008e-01	 2.9283e-01	
 3.1878e-01	 3.4130e-01	 3.0498e-01	
 3.2642e-01	 3.3927e-01	 3.1835e-01	
 3.1004e-01	 3.4292e-01	 3.0620e-01	
 3.2424e-01	 3.3981e-01	 3.1592e-01	
 3.2096e-01	 3.4157e-01	 3.1470e-01	
 3.1550e-01	 3.3846e-01	 3.0377e-01	
 3.3188e-01	 3.3644e-01	 3.2685e-01	
 3.2642e-01	 3.3590e-01	 3.1956e-01	
 3.3406e-01	 3.4184e-01	 3.2442e-01	
 3.1332e-01	 3.3779e-01	 3.0134e-01	
 3.2314e-01	 3.4089e-01	 3.1956e-01	
 3.2096e-01	 3.4157e-01	 3.0741e-01	
 3.3843e-01	 3.4359e-01	 3.2928e-01	
 3.1769e-01	 3.3765e-01	 3.1106e-01	
 3.3188e-01	 3.3792e-01	 3.1835e-01	
 3.2096e-01	 3.3671e-01	 3.1470e-01	
 3.1004e-01	 3.3536e-01	 2.9891e-01	
 3.1878e-01	 3.4211e-01	 3.1835e-01	
 3.3515e-01	 3.3860e-01	 3.2928e-01	
 3.2314e-01	 3.3860e-01	 3.1713e-01	
 3.2096e-01	 3.3981e-01	 3.1470e-01	
 3.2205e-01	 3.3833e-01	 3.1592e-01	
 3.2314e-01	 3.4413e-01	 3.1470e-01	
 2.9694e-01	 3.3711e-01	 2.7825e-01	
 3.2860e-01	 3.4562e-01	 3.1956e-01	
 3.2314e-01	 3.4089e-01	 3.1956e-01	
 3.1223e-01	 3.3765e-01	 3.0377e-01	
 3.1114e-01	 3.3995e-01	 3.0377e-01	
 3.1223e-01	 3.4049e-01	 2.9648e-01	
 3.2205e-01	 3.3873e-01	 3.1470e-01	
 3.4607e-01	 3.3617e-01	 3.3536e-01	
 3.1987e-01	 3.4049e-01	 3.0134e-01	
 3.1332e-01	 3.3644e-01	 3.0134e-01	
 3.2751e-01	 3.3684e-01	 3.1713e-01	
 3.1332e-01	 3.3887e-01	 2.9769e-01	
 3.1659e-01	 3.3887e-01	 3.1227e-01	
 3.3515e-01	 3.3846e-01	 3.1956e-01	
 3.0022e-01	 3.4035e-01	 2.8919e-01	
 3.2860e-01	 3.3644e-01	 3.1106e-01	
 3.1332e-01	 3.3927e-01	 3.0498e-01	
 3.3079e-01	 3.4089e-01	 3.2442e-01	
 3.1878e-01	 3.4170e-01	 3.0863e-01	
 3.3734e-01	 3.4035e-01	 3.3414e-01	
 3.2642e-01	 3.3684e-01	 3.2321e-01	
 3.1114e-01	 3.3846e-01	 3.1470e-01	
 3.0568e-01	 3.3198e-01	 3.0012e-01	
 3.2096e-01	 3.3779e-01	 3.1470e-01	
 3.3188e-01	 3.3617e-01	 3.2685e-01	
 3.3734e-01	 3.3860e-01	 3.1956e-01	
 3.1114e-01	 3.3954e-01	 3.0863e-01	
 3.0459e-01	 3.3954e-01	 3.0620e-01	
 3.1004e-01	 3.3833e-01	 3.0620e-01	
 3.0568e-01	 3.3590e-01	 3.0255e-01	
 3.1878e-01	 3.3563e-01	 3.0741e-01	
 3.3406e-01	 3.3644e-01	 3.2928e-01	
 3.1550e-01	 3.3792e-01	 2.9891e-01	
 3.0895e-01	 3.3347e-01	 3.0741e-01	
 3.1114e-01	 3.3873e-01	 3.0377e-01	
 2.9913e-01	 3.3536e-01	 2.9526e-01	
 3.1332e-01	 3.3684e-01	 3.0984e-01	
 3.2314e-01	 3.3549e-01	 3.1349e-01	
 3.1114e-01	 3.3846e-01	 3.0498e-01	
 3.2642e-01	 3.4103e-01	 3.2442e-01	
 3.5371e-01	 3.3914e-01	 3.4265e-01	
 2.9367e-01	 3.3536e-01	 2.9405e-01	
 3.2096e-01	 3.3887e-01	 3.1592e-01	
 3.3952e-01	 3.3981e-01	 3.2928e-01	
 3.1332e-01	 3.3954e-01	 3.0984e-01	
 3.1550e-01	 3.3846e-01	 3.0620e-01	
 3.1769e-01	 3.3252e-01	 3.1106e-01	
 3.2751e-01	 3.3563e-01	 3.0377e-01	
