Test Error	Training Error	Valid Error	
 9.0690e-01	 9.2967e-01	 9.0698e-01	
 8.6390e-01	 8.9667e-01	 8.5957e-01	
 8.3190e-01	 8.5529e-01	 8.3297e-01	
 7.8870e-01	 8.1849e-01	 7.8496e-01	
 7.6540e-01	 7.8656e-01	 7.6835e-01	
 7.3860e-01	 7.5971e-01	 7.3195e-01	
 7.0700e-01	 7.3622e-01	 7.0174e-01	
 6.8810e-01	 7.1764e-01	 6.8474e-01	
 6.9090e-01	 7.0202e-01	 6.9334e-01	
 6.9260e-01	 6.9073e-01	 6.8794e-01	
 6.8790e-01	 6.7951e-01	 6.8394e-01	
 6.8240e-01	 6.7802e-01	 6.8154e-01	
 6.7860e-01	 6.7964e-01	 6.7654e-01	
 6.9440e-01	 6.7809e-01	 6.8834e-01	
 6.9010e-01	 6.7887e-01	 6.8514e-01	
 6.7530e-01	 6.7847e-01	 6.7093e-01	
 6.8180e-01	 6.7676e-01	 6.7814e-01	
 6.7220e-01	 6.7811e-01	 6.7053e-01	
 6.8680e-01	 6.7800e-01	 6.8394e-01	
 6.7490e-01	 6.7898e-01	 6.7574e-01	
 6.8080e-01	 6.8051e-01	 6.7413e-01	
 6.7930e-01	 6.7824e-01	 6.7994e-01	
 6.7530e-01	 6.7949e-01	 6.7453e-01	
 6.8520e-01	 6.7716e-01	 6.8854e-01	
 6.8400e-01	 6.7798e-01	 6.8294e-01	
 6.7710e-01	 6.8080e-01	 6.7974e-01	
 6.7680e-01	 6.8002e-01	 6.7133e-01	
 6.7150e-01	 6.7900e-01	 6.7253e-01	
 6.7180e-01	 6.7791e-01	 6.7453e-01	
 6.8650e-01	 6.7822e-01	 6.7894e-01	
 6.9310e-01	 6.7653e-01	 6.9054e-01	
 6.8170e-01	 6.7833e-01	 6.8154e-01	
 6.8070e-01	 6.7711e-01	 6.8274e-01	
 6.7920e-01	 6.7924e-01	 6.7393e-01	
 6.8940e-01	 6.8036e-01	 6.9054e-01	
 6.7960e-01	 6.7891e-01	 6.7674e-01	
 6.8560e-01	 6.7829e-01	 6.8494e-01	
 6.7450e-01	 6.7776e-01	 6.7353e-01	
 6.7150e-01	 6.7878e-01	 6.6633e-01	
 6.8740e-01	 6.7784e-01	 6.8774e-01	
 6.7820e-01	 6.7596e-01	 6.7514e-01	
 6.8460e-01	 6.7818e-01	 6.8214e-01	
 6.7370e-01	 6.7767e-01	 6.6913e-01	
 6.8220e-01	 6.7864e-01	 6.8614e-01	
 6.8570e-01	 6.7993e-01	 6.8134e-01	
 6.7600e-01	 6.7724e-01	 6.7473e-01	
 6.6970e-01	 6.7658e-01	 6.6953e-01	
 6.8930e-01	 6.7964e-01	 6.8954e-01	
 6.8210e-01	 6.7631e-01	 6.8034e-01	
 6.8460e-01	 6.7924e-01	 6.8554e-01	
 6.8340e-01	 6.7951e-01	 6.8314e-01	
 6.8630e-01	 6.7964e-01	 6.8854e-01	
 6.7300e-01	 6.8073e-01	 6.7694e-01	
 6.8050e-01	 6.7796e-01	 6.8254e-01	
 6.8430e-01	 6.7842e-01	 6.8054e-01	
 6.7170e-01	 6.7816e-01	 6.7534e-01	
 6.7360e-01	 6.7873e-01	 6.7433e-01	
 6.7980e-01	 6.8053e-01	 6.7994e-01	
 6.7780e-01	 6.7820e-01	 6.8014e-01	
 6.8730e-01	 6.7760e-01	 6.8574e-01	
 6.6890e-01	 6.7907e-01	 6.6853e-01	
 6.8240e-01	 6.7871e-01	 6.7914e-01	
 6.7520e-01	 6.7742e-01	 6.7894e-01	
 6.8420e-01	 6.7713e-01	 6.8254e-01	
 6.7800e-01	 6.7884e-01	 6.7634e-01	
 6.9140e-01	 6.7862e-01	 6.8854e-01	
 6.7210e-01	 6.7864e-01	 6.7133e-01	
 6.7470e-01	 6.8020e-01	 6.7473e-01	
 6.8360e-01	 6.8060e-01	 6.7654e-01	
 6.7720e-01	 6.7996e-01	 6.7854e-01	
 6.7490e-01	 6.7769e-01	 6.7674e-01	
 6.8180e-01	 6.7980e-01	 6.8034e-01	
 6.8760e-01	 6.7956e-01	 6.7914e-01	
 6.7880e-01	 6.7860e-01	 6.8274e-01	
 6.8260e-01	 6.7931e-01	 6.8174e-01	
 6.8400e-01	 6.7907e-01	 6.8454e-01	
 6.8020e-01	 6.7798e-01	 6.7874e-01	
 6.7980e-01	 6.7836e-01	 6.7934e-01	
 6.8800e-01	 6.7791e-01	 6.8774e-01	
