Test Error	Training Error	Valid Error	
 9.3432e-01	 9.5802e-01	 9.2737e-01	
 8.7908e-01	 8.8791e-01	 8.6260e-01	
 7.2146e-01	 7.8060e-01	 7.1359e-01	
 4.7019e-01	 6.4380e-01	 4.7660e-01	
 3.5871e-01	 4.8906e-01	 3.6503e-01	
 3.1425e-01	 3.7543e-01	 3.0850e-01	
 2.5295e-01	 3.1385e-01	 2.5009e-01	
 2.6204e-01	 2.7732e-01	 2.6844e-01	
 2.3981e-01	 2.4840e-01	 2.4373e-01	
 2.1623e-01	 2.3579e-01	 2.2014e-01	
 1.8996e-01	 2.2323e-01	 1.9768e-01	
 1.8828e-01	 2.2460e-01	 1.9581e-01	
 1.8895e-01	 2.2219e-01	 1.9805e-01	
 1.8659e-01	 2.2435e-01	 1.9506e-01	
 1.9131e-01	 2.2048e-01	 1.9918e-01	
 1.8659e-01	 2.2306e-01	 1.9506e-01	
 1.9299e-01	 2.2327e-01	 1.9993e-01	
 1.8188e-01	 2.2214e-01	 1.9244e-01	
 1.8659e-01	 2.2381e-01	 1.9506e-01	
 1.8659e-01	 2.2381e-01	 1.9506e-01	
 1.8323e-01	 2.2339e-01	 1.9206e-01	
 1.8659e-01	 2.2485e-01	 1.9506e-01	
 1.8390e-01	 2.2219e-01	 1.9244e-01	
 1.8828e-01	 2.2531e-01	 1.9581e-01	
 1.8828e-01	 2.2069e-01	 1.9581e-01	
 1.8659e-01	 2.2535e-01	 1.9506e-01	
 1.8390e-01	 2.2281e-01	 1.9244e-01	
 1.8659e-01	 2.2094e-01	 1.9506e-01	
 1.8895e-01	 2.2223e-01	 1.9805e-01	
 1.8188e-01	 2.2206e-01	 1.9244e-01	
 1.8828e-01	 2.2306e-01	 1.9581e-01	
 1.8659e-01	 2.2198e-01	 1.9506e-01	
 1.8659e-01	 2.2231e-01	 1.9506e-01	
 1.8895e-01	 2.2589e-01	 1.9805e-01	
 1.8828e-01	 2.2327e-01	 1.9581e-01	
 1.8659e-01	 2.2381e-01	 1.9506e-01	
 1.8188e-01	 2.2298e-01	 1.9244e-01	
 1.8828e-01	 2.2489e-01	 1.9581e-01	
 1.8188e-01	 2.2331e-01	 1.9244e-01	
 1.8188e-01	 2.2435e-01	 1.9244e-01	
 1.9299e-01	 2.2268e-01	 1.9993e-01	
 1.8996e-01	 2.2377e-01	 1.9918e-01	
 1.8659e-01	 2.2435e-01	 1.9506e-01	
 1.8828e-01	 2.2298e-01	 1.9581e-01	
 1.8390e-01	 2.2202e-01	 1.9244e-01	
 1.8659e-01	 2.2410e-01	 1.9506e-01	
 1.8828e-01	 2.2264e-01	 1.9581e-01	
 1.9131e-01	 2.2543e-01	 1.9918e-01	
 1.8356e-01	 2.2435e-01	 1.9319e-01	
 1.8727e-01	 2.2264e-01	 1.9506e-01	
 1.8828e-01	 2.2422e-01	 1.9581e-01	
 1.8659e-01	 2.2189e-01	 1.9506e-01	
