Test Error	Training Error	Valid Error	
 9.2610e-01	 9.3662e-01	 9.3099e-01	
 8.9940e-01	 8.9927e-01	 8.9518e-01	
 8.7410e-01	 8.6467e-01	 8.7097e-01	
 8.5810e-01	 8.4233e-01	 8.5197e-01	
 8.2950e-01	 8.2004e-01	 8.2236e-01	
 8.1660e-01	 8.0538e-01	 8.0496e-01	
 7.8460e-01	 7.8669e-01	 7.7716e-01	
 7.6270e-01	 7.6702e-01	 7.5955e-01	
 7.5430e-01	 7.5136e-01	 7.4995e-01	
 7.3270e-01	 7.3298e-01	 7.3615e-01	
 7.1960e-01	 7.2022e-01	 7.2174e-01	
 7.1130e-01	 7.0938e-01	 7.0714e-01	
 6.9800e-01	 6.9673e-01	 6.9754e-01	
 6.8200e-01	 6.8618e-01	 6.8354e-01	
 6.8100e-01	 6.7636e-01	 6.7654e-01	
 6.7730e-01	 6.6644e-01	 6.7313e-01	
 6.5880e-01	 6.5604e-01	 6.6413e-01	
 6.5800e-01	 6.4880e-01	 6.5253e-01	
 6.4960e-01	 6.4242e-01	 6.4673e-01	
 6.3760e-01	 6.3482e-01	 6.4193e-01	
 6.2000e-01	 6.1184e-01	 6.1492e-01	
 6.2180e-01	 6.0887e-01	 6.1312e-01	
 6.2230e-01	 6.0300e-01	 6.2072e-01	
 5.9760e-01	 6.0218e-01	 6.0252e-01	
 6.1120e-01	 5.9367e-01	 6.1792e-01	
 6.0880e-01	 5.9271e-01	 6.1052e-01	
 6.0440e-01	 5.8789e-01	 5.9792e-01	
 6.0190e-01	 5.8424e-01	 6.0392e-01	
 6.0310e-01	 5.7804e-01	 6.0012e-01	
 5.8720e-01	 5.7640e-01	 5.8132e-01	
 6.0460e-01	 5.7344e-01	 6.0392e-01	
 5.9050e-01	 5.6996e-01	 5.8052e-01	
 5.8440e-01	 5.6778e-01	 5.7071e-01	
 5.8220e-01	 5.6391e-01	 5.7852e-01	
 5.8260e-01	 5.6093e-01	 5.8272e-01	
 5.7300e-01	 5.5807e-01	 5.7271e-01	
 5.7910e-01	 5.5620e-01	 5.7892e-01	
 5.6450e-01	 5.5200e-01	 5.6811e-01	
 5.6260e-01	 5.5053e-01	 5.6691e-01	
 5.6920e-01	 5.4744e-01	 5.6991e-01	
 5.5010e-01	 5.3513e-01	 5.5631e-01	
 5.5770e-01	 5.3096e-01	 5.5371e-01	
 5.4390e-01	 5.3236e-01	 5.4931e-01	
 5.4510e-01	 5.2560e-01	 5.4571e-01	
 5.5650e-01	 5.2582e-01	 5.5591e-01	
 5.3710e-01	 5.2480e-01	 5.3591e-01	
 5.4870e-01	 5.2298e-01	 5.4711e-01	
 5.4630e-01	 5.2296e-01	 5.4751e-01	
 5.4670e-01	 5.1964e-01	 5.4551e-01	
 5.4610e-01	 5.1549e-01	 5.4631e-01	
 5.3950e-01	 5.1753e-01	 5.3631e-01	
 5.2940e-01	 5.1402e-01	 5.3291e-01	
 5.4440e-01	 5.1327e-01	 5.3531e-01	
 5.4430e-01	 5.1138e-01	 5.4191e-01	
 5.3240e-01	 5.0858e-01	 5.2911e-01	
 5.3480e-01	 5.1104e-01	 5.2611e-01	
 5.2750e-01	 5.1013e-01	 5.2751e-01	
 5.3590e-01	 5.0891e-01	 5.3811e-01	
 5.3470e-01	 5.0758e-01	 5.2891e-01	
 5.2760e-01	 5.0664e-01	 5.2551e-01	
 5.2420e-01	 4.9944e-01	 5.3231e-01	
 5.2900e-01	 4.9638e-01	 5.2490e-01	
 5.2460e-01	 4.9404e-01	 5.1950e-01	
 5.2640e-01	 4.9267e-01	 5.2410e-01	
