Test Error	Training Error	Valid Error	
 9.5150e-01	 9.7608e-01	 9.3935e-01	
 9.6935e-01	 9.5215e-01	 9.5732e-01	
 9.5150e-01	 9.4079e-01	 9.3935e-01	
 9.6767e-01	 9.3047e-01	 9.5657e-01	
 9.6935e-01	 9.1649e-01	 9.5919e-01	
 9.7036e-01	 9.0364e-01	 9.7304e-01	
 9.6093e-01	 8.6989e-01	 9.6031e-01	
 8.5719e-01	 8.2554e-01	 8.4613e-01	
 7.9825e-01	 7.6130e-01	 7.9446e-01	
 6.9283e-01	 6.8711e-01	 6.8738e-01	
 6.9485e-01	 6.4900e-01	 6.8663e-01	
 6.7430e-01	 6.4970e-01	 6.6492e-01	
 6.7161e-01	 6.5095e-01	 6.6866e-01	
 6.7262e-01	 6.5174e-01	 6.6492e-01	
 6.6420e-01	 6.5141e-01	 6.6155e-01	
 6.7632e-01	 6.5000e-01	 6.6754e-01	
 6.7295e-01	 6.4792e-01	 6.6754e-01	
 6.6655e-01	 6.4908e-01	 6.6417e-01	
 6.7632e-01	 6.5050e-01	 6.7016e-01	
 6.7632e-01	 6.4767e-01	 6.7390e-01	
 6.6622e-01	 6.4933e-01	 6.6604e-01	
 6.7767e-01	 6.4954e-01	 6.7503e-01	
 6.6453e-01	 6.4900e-01	 6.5855e-01	
 6.6891e-01	 6.4704e-01	 6.6492e-01	
 6.7060e-01	 6.5062e-01	 6.6305e-01	
 6.8306e-01	 6.4958e-01	 6.7877e-01	
 6.7262e-01	 6.4887e-01	 6.6754e-01	
 6.8912e-01	 6.5033e-01	 6.8326e-01	
 6.6554e-01	 6.5129e-01	 6.6305e-01	
 6.7194e-01	 6.4825e-01	 6.6529e-01	
 6.7666e-01	 6.4800e-01	 6.7465e-01	
 6.8272e-01	 6.5116e-01	 6.8401e-01	
 6.6756e-01	 6.4950e-01	 6.6417e-01	
 6.7060e-01	 6.4621e-01	 6.6604e-01	
 6.7599e-01	 6.4675e-01	 6.7016e-01	
