Test Error	Training Error	Valid Error	
 9.7541e-01	 9.6551e-01	 9.6144e-01	
 9.7238e-01	 9.3842e-01	 9.5919e-01	
 9.6935e-01	 9.3106e-01	 9.5732e-01	
 9.8181e-01	 9.1537e-01	 9.8128e-01	
 9.6093e-01	 9.0447e-01	 9.6967e-01	
 9.4577e-01	 8.8283e-01	 9.3935e-01	
 9.6868e-01	 8.5466e-01	 9.6930e-01	
 8.9559e-01	 8.0648e-01	 8.7832e-01	
 7.8073e-01	 7.2452e-01	 7.8660e-01	
 6.5308e-01	 6.3448e-01	 6.6005e-01	
 6.4736e-01	 5.7102e-01	 6.4395e-01	
 6.3388e-01	 5.6574e-01	 6.3609e-01	
 6.3590e-01	 5.6736e-01	 6.4508e-01	
 6.5712e-01	 5.7132e-01	 6.5406e-01	
 6.3894e-01	 5.6882e-01	 6.4732e-01	
 6.4365e-01	 5.6936e-01	 6.3909e-01	
 6.5342e-01	 5.6678e-01	 6.5032e-01	
 6.3961e-01	 5.7069e-01	 6.4508e-01	
 6.5376e-01	 5.6878e-01	 6.4994e-01	
 6.3995e-01	 5.6537e-01	 6.4171e-01	
 6.3826e-01	 5.6990e-01	 6.4096e-01	
 6.3422e-01	 5.6828e-01	 6.3796e-01	
 6.4399e-01	 5.6894e-01	 6.3984e-01	
 6.3590e-01	 5.7069e-01	 6.4508e-01	
 6.3725e-01	 5.6957e-01	 6.4021e-01	
 6.4399e-01	 5.7036e-01	 6.4994e-01	
 6.3961e-01	 5.6857e-01	 6.4807e-01	
 6.4331e-01	 5.7023e-01	 6.4920e-01	
 6.4028e-01	 5.7032e-01	 6.3871e-01	
 6.5308e-01	 5.6815e-01	 6.4957e-01	
 6.5510e-01	 5.6815e-01	 6.4470e-01	
 6.3456e-01	 5.6869e-01	 6.3984e-01	
 6.5746e-01	 5.6953e-01	 6.5593e-01	
 6.4096e-01	 5.7161e-01	 6.3834e-01	
 6.4466e-01	 5.6919e-01	 6.3796e-01	
 6.4466e-01	 5.6869e-01	 6.4920e-01	
 6.2209e-01	 5.7007e-01	 6.2785e-01	
 6.4298e-01	 5.7003e-01	 6.4695e-01	
 6.4736e-01	 5.6782e-01	 6.4770e-01	
 6.3691e-01	 5.7040e-01	 6.3759e-01	
 6.4668e-01	 5.7077e-01	 6.5182e-01	
 6.3590e-01	 5.7094e-01	 6.4358e-01	
 6.3590e-01	 5.6653e-01	 6.3984e-01	
 6.2748e-01	 5.6632e-01	 6.3721e-01	
 6.3422e-01	 5.7148e-01	 6.3759e-01	
 6.5477e-01	 5.7053e-01	 6.4807e-01	
 6.2917e-01	 5.6899e-01	 6.3272e-01	
 6.5477e-01	 5.6944e-01	 6.4957e-01	
 6.6554e-01	 5.6928e-01	 6.5706e-01	
 6.5645e-01	 5.6948e-01	 6.5369e-01	
 6.5039e-01	 5.6986e-01	 6.4657e-01	
 6.5544e-01	 5.6915e-01	 6.5182e-01	
 6.5376e-01	 5.7211e-01	 6.4133e-01	
 6.3119e-01	 5.6844e-01	 6.4021e-01	
 6.3388e-01	 5.6998e-01	 6.3534e-01	
