Test Error	Training Error	Valid Error	
 9.4779e-01	 9.7595e-01	 9.3598e-01	
 9.4544e-01	 9.4608e-01	 9.3224e-01	
 9.6093e-01	 9.2810e-01	 9.5208e-01	
 9.2792e-01	 9.1100e-01	 9.1988e-01	
 8.8616e-01	 8.8034e-01	 8.9143e-01	
 8.3597e-01	 8.2824e-01	 8.4500e-01	
 7.0798e-01	 7.5722e-01	 7.3718e-01	
 6.4769e-01	 6.5965e-01	 6.6567e-01	
 5.2004e-01	 5.7365e-01	 5.3014e-01	
 5.1600e-01	 4.9264e-01	 5.2565e-01	
 4.5638e-01	 4.4891e-01	 4.7024e-01	
 4.4662e-01	 4.5286e-01	 4.5676e-01	
 4.5301e-01	 4.4849e-01	 4.6050e-01	
 4.4257e-01	 4.5207e-01	 4.5189e-01	
 4.7087e-01	 4.4878e-01	 4.8259e-01	
 4.5773e-01	 4.5074e-01	 4.6612e-01	
 4.6177e-01	 4.5182e-01	 4.7623e-01	
 4.4931e-01	 4.4857e-01	 4.6275e-01	
 4.5975e-01	 4.5049e-01	 4.7585e-01	
 4.4830e-01	 4.5032e-01	 4.5938e-01	
 4.5369e-01	 4.5178e-01	 4.6462e-01	
 4.4830e-01	 4.5153e-01	 4.5826e-01	
 4.6177e-01	 4.4687e-01	 4.7361e-01	
 4.4156e-01	 4.4749e-01	 4.6088e-01	
 4.4594e-01	 4.5153e-01	 4.5227e-01	
 4.6615e-01	 4.5236e-01	 4.7847e-01	
 4.6312e-01	 4.5040e-01	 4.7623e-01	
 4.6379e-01	 4.5382e-01	 4.7548e-01	
 4.4560e-01	 4.5053e-01	 4.6275e-01	
 4.7154e-01	 4.4995e-01	 4.8371e-01	
 4.4493e-01	 4.4907e-01	 4.5900e-01	
 4.4864e-01	 4.5207e-01	 4.6312e-01	
 4.5066e-01	 4.4999e-01	 4.6350e-01	
 4.4897e-01	 4.5194e-01	 4.5938e-01	
 4.5402e-01	 4.4866e-01	 4.6836e-01	
 4.4729e-01	 4.5302e-01	 4.6237e-01	
 4.6042e-01	 4.4924e-01	 4.6836e-01	
 4.4796e-01	 4.5169e-01	 4.6050e-01	
 4.5369e-01	 4.5107e-01	 4.6836e-01	
 4.5436e-01	 4.5307e-01	 4.6762e-01	
 4.6346e-01	 4.5511e-01	 4.7098e-01	
 4.7457e-01	 4.5099e-01	 4.8072e-01	
 4.4830e-01	 4.5523e-01	 4.6275e-01	
 4.6042e-01	 4.5186e-01	 4.7772e-01	
 4.6278e-01	 4.5211e-01	 4.7248e-01	
 4.6076e-01	 4.5194e-01	 4.7585e-01	
 4.5537e-01	 4.4857e-01	 4.6836e-01	
 4.5773e-01	 4.4882e-01	 4.6949e-01	
 4.5706e-01	 4.4995e-01	 4.7323e-01	
 4.7188e-01	 4.5377e-01	 4.7997e-01	
 4.5672e-01	 4.5415e-01	 4.6537e-01	
 4.4156e-01	 4.5024e-01	 4.5638e-01	
 4.5874e-01	 4.5007e-01	 4.6799e-01	
 4.3146e-01	 4.5099e-01	 4.4403e-01	
 4.7221e-01	 4.4633e-01	 4.8334e-01	
 4.4291e-01	 4.5411e-01	 4.6237e-01	
 4.5032e-01	 4.4907e-01	 4.5713e-01	
 4.5807e-01	 4.5352e-01	 4.7098e-01	
 4.5301e-01	 4.5211e-01	 4.6013e-01	
 4.6177e-01	 4.5049e-01	 4.7510e-01	
 4.5706e-01	 4.5074e-01	 4.6836e-01	
 4.5301e-01	 4.5186e-01	 4.6013e-01	
 4.5807e-01	 4.5090e-01	 4.6649e-01	
 4.4965e-01	 4.5257e-01	 4.6649e-01	
 4.7120e-01	 4.4774e-01	 4.8484e-01	
 4.6851e-01	 4.4999e-01	 4.8109e-01	
 4.6851e-01	 4.5257e-01	 4.7735e-01	
 4.5133e-01	 4.4782e-01	 4.6836e-01	
 4.4763e-01	 4.5186e-01	 4.5751e-01	
 4.6211e-01	 4.4982e-01	 4.7548e-01	
 4.4965e-01	 4.4970e-01	 4.6425e-01	
 4.5066e-01	 4.5103e-01	 4.6162e-01	
 4.4089e-01	 4.5340e-01	 4.5713e-01	
 4.4763e-01	 4.5124e-01	 4.6387e-01	
 4.4662e-01	 4.4941e-01	 4.5975e-01	
 4.4695e-01	 4.5336e-01	 4.5451e-01	
 4.6245e-01	 4.5090e-01	 4.6949e-01	
 4.4830e-01	 4.5236e-01	 4.6162e-01	
 4.5672e-01	 4.4674e-01	 4.7061e-01	
 4.5436e-01	 4.5132e-01	 4.7024e-01	
 4.6042e-01	 4.5207e-01	 4.7173e-01	
 4.6884e-01	 4.4782e-01	 4.7922e-01	
 4.6211e-01	 4.5186e-01	 4.7510e-01	
 4.5773e-01	 4.5153e-01	 4.7248e-01	
 4.5200e-01	 4.5074e-01	 4.6537e-01	
 4.5066e-01	 4.5427e-01	 4.5788e-01	
 4.5537e-01	 4.5298e-01	 4.6574e-01	
 4.5369e-01	 4.4920e-01	 4.6874e-01	
 4.6177e-01	 4.4866e-01	 4.7061e-01	
 4.4931e-01	 4.4824e-01	 4.6237e-01	
 4.6042e-01	 4.5290e-01	 4.7361e-01	
 4.6447e-01	 4.4716e-01	 4.7623e-01	
 4.4965e-01	 4.5115e-01	 4.6275e-01	
 4.5301e-01	 4.4895e-01	 4.6649e-01	
 4.6009e-01	 4.5278e-01	 4.6874e-01	
 4.5268e-01	 4.5003e-01	 4.6425e-01	
 4.5032e-01	 4.5190e-01	 4.6350e-01	
