Test Error	Training Error	Valid Error	
 8.1223e-01	 8.5176e-01	 7.8858e-01	
 6.6703e-01	 6.5762e-01	 6.5371e-01	
 6.5830e-01	 6.4169e-01	 6.4277e-01	
 7.5218e-01	 6.2265e-01	 7.2053e-01	
 7.9148e-01	 6.0456e-01	 7.5699e-01	
 7.8712e-01	 5.9862e-01	 7.5213e-01	
 7.9258e-01	 5.7270e-01	 7.5213e-01	
 6.5393e-01	 5.5880e-01	 6.3305e-01	
 7.8930e-01	 5.3989e-01	 7.6549e-01	
 6.9323e-01	 5.2329e-01	 6.2940e-01	
 5.8624e-01	 5.1262e-01	 5.4070e-01	
 5.8624e-01	 5.1816e-01	 5.4070e-01	
 5.8188e-01	 5.1613e-01	 5.3463e-01	
 6.8013e-01	 5.1667e-01	 6.1847e-01	
 5.8624e-01	 5.1384e-01	 5.4070e-01	
 5.8624e-01	 5.1762e-01	 5.4070e-01	
 5.9170e-01	 5.1505e-01	 5.4435e-01	
 5.9170e-01	 5.1195e-01	 5.4435e-01	
 5.8952e-01	 5.1694e-01	 5.4678e-01	
