Test Error	Training Error	Valid Error	
 7.1288e-01	 8.0626e-01	 6.9623e-01	
 7.4236e-01	 6.6626e-01	 7.4484e-01	
 7.0306e-01	 6.2981e-01	 6.8165e-01	
 6.3755e-01	 6.0929e-01	 6.1847e-01	
 6.8013e-01	 5.6352e-01	 6.6100e-01	
 6.8341e-01	 5.2383e-01	 6.4034e-01	
 4.4432e-01	 4.6834e-01	 4.0948e-01	
 3.9301e-01	 4.0678e-01	 3.6452e-01	
 3.2205e-01	 3.1821e-01	 3.0620e-01	
 2.3144e-01	 2.4774e-01	 2.3451e-01	
 1.9323e-01	 2.1169e-01	 1.9441e-01	
 2.0197e-01	 2.1426e-01	 2.0778e-01	
 1.9651e-01	 2.1574e-01	 1.9563e-01	
 2.0524e-01	 2.1439e-01	 2.0535e-01	
 2.0742e-01	 2.1237e-01	 2.1142e-01	
 1.9541e-01	 2.1696e-01	 1.9927e-01	
 2.1179e-01	 2.1561e-01	 2.1385e-01	
 2.1179e-01	 2.0994e-01	 2.1385e-01	
 2.0197e-01	 2.1304e-01	 2.0778e-01	
 1.9760e-01	 2.1507e-01	 1.9684e-01	
 1.9760e-01	 2.1034e-01	 1.9684e-01	
 1.9432e-01	 2.1358e-01	 1.8591e-01	
 2.0087e-01	 2.1223e-01	 1.9806e-01	
 2.0087e-01	 2.1183e-01	 2.0292e-01	
 2.0742e-01	 2.1291e-01	 2.1142e-01	
 2.0306e-01	 2.1237e-01	 2.0656e-01	
 2.0852e-01	 2.1520e-01	 2.1507e-01	
 1.9978e-01	 2.1169e-01	 2.0292e-01	
 2.0742e-01	 2.1102e-01	 2.1142e-01	
 2.1070e-01	 2.1642e-01	 2.1871e-01	
 2.0087e-01	 2.1331e-01	 1.9806e-01	
 2.0961e-01	 2.1196e-01	 2.1264e-01	
 1.8996e-01	 2.1696e-01	 1.8226e-01	
 1.9323e-01	 2.1547e-01	 1.9441e-01	
 2.1179e-01	 2.1358e-01	 2.1385e-01	
 2.0633e-01	 2.1156e-01	 2.1021e-01	
 2.0524e-01	 2.1912e-01	 2.0535e-01	
 2.1179e-01	 2.1372e-01	 2.1507e-01	
 2.1179e-01	 2.1142e-01	 2.1385e-01	
 2.0742e-01	 2.1682e-01	 2.1142e-01	
 2.0415e-01	 2.1007e-01	 2.1142e-01	
