Test Error	Training Error	Valid Error	
 7.5000e-01	 7.7683e-01	 7.2053e-01	
 7.6092e-01	 6.2589e-01	 7.3147e-01	
 7.4782e-01	 6.3048e-01	 7.1324e-01	
 7.4345e-01	 6.0254e-01	 7.0595e-01	
 7.9803e-01	 5.7473e-01	 7.5456e-01	
 7.7620e-01	 5.6919e-01	 7.3755e-01	
 6.1245e-01	 5.4124e-01	 5.6379e-01	
 7.6747e-01	 5.2032e-01	 7.3390e-01	
 5.6332e-01	 4.9642e-01	 5.2126e-01	
 5.0764e-01	 4.5376e-01	 4.6294e-01	
 5.3057e-01	 4.1947e-01	 4.9332e-01	
 5.1856e-01	 4.2082e-01	 4.7995e-01	
 5.1856e-01	 4.2109e-01	 4.7995e-01	
 5.1528e-01	 4.1974e-01	 4.7388e-01	
 5.9389e-01	 4.2203e-01	 5.2855e-01	
 5.1638e-01	 4.2716e-01	 4.7145e-01	
 6.0699e-01	 4.2230e-01	 5.4313e-01	
 5.3057e-01	 4.2136e-01	 4.8603e-01	
 5.2074e-01	 4.2433e-01	 4.7995e-01	
 5.5022e-01	 4.1704e-01	 5.0668e-01	
 5.1528e-01	 4.2311e-01	 4.7388e-01	
 5.1638e-01	 4.2028e-01	 4.7145e-01	
 5.0764e-01	 4.2217e-01	 4.6902e-01	
 5.2293e-01	 4.2365e-01	 4.8846e-01	
 5.2183e-01	 4.1825e-01	 4.7631e-01	
 5.2293e-01	 4.2352e-01	 4.8846e-01	
 5.1528e-01	 4.2176e-01	 4.7388e-01	
 5.7860e-01	 4.1866e-01	 5.1883e-01	
 5.2838e-01	 4.1785e-01	 4.7752e-01	
 5.0546e-01	 4.2122e-01	 4.6051e-01	
 5.1528e-01	 4.2109e-01	 4.7388e-01	
 5.1747e-01	 4.1758e-01	 4.7388e-01	
 5.3166e-01	 4.1798e-01	 4.7388e-01	
 5.5131e-01	 4.2230e-01	 5.0182e-01	
 6.1354e-01	 4.1947e-01	 5.6136e-01	
 5.0655e-01	 4.1825e-01	 4.6780e-01	
 5.4913e-01	 4.1933e-01	 4.9332e-01	
 6.0262e-01	 4.2122e-01	 5.4070e-01	
 5.2620e-01	 4.2176e-01	 4.8481e-01	
 5.0764e-01	 4.1987e-01	 4.7509e-01	
 5.0218e-01	 4.1987e-01	 4.5322e-01	
 5.2183e-01	 4.1798e-01	 4.7631e-01	
 5.1201e-01	 4.2406e-01	 4.7752e-01	
 5.1638e-01	 4.2217e-01	 4.7145e-01	
 5.0437e-01	 4.1960e-01	 4.5808e-01	
 5.4258e-01	 4.1960e-01	 4.9939e-01	
 5.4585e-01	 4.2055e-01	 4.9696e-01	
 5.4367e-01	 4.2176e-01	 4.9696e-01	
 5.2838e-01	 4.2163e-01	 4.7752e-01	
 5.1528e-01	 4.2352e-01	 4.7388e-01	
 6.0044e-01	 4.1960e-01	 5.4557e-01	
 5.1310e-01	 4.2041e-01	 4.7631e-01	
 5.0437e-01	 4.2068e-01	 4.5930e-01	
 6.1135e-01	 4.2446e-01	 5.5286e-01	
 5.1856e-01	 4.2109e-01	 4.7995e-01	
 5.2620e-01	 4.2298e-01	 4.8481e-01	
 5.0218e-01	 4.1974e-01	 4.5930e-01	
 5.0873e-01	 4.2406e-01	 4.6659e-01	
 5.5131e-01	 4.2014e-01	 5.0182e-01	
 5.1201e-01	 4.2743e-01	 4.6294e-01	
 5.1310e-01	 4.2082e-01	 4.6537e-01	
 5.1856e-01	 4.2203e-01	 4.7995e-01	
 5.2402e-01	 4.1947e-01	 4.7631e-01	
 5.1747e-01	 4.2635e-01	 4.7388e-01	
 5.1747e-01	 4.2365e-01	 4.7388e-01	
 5.3275e-01	 4.2149e-01	 4.8724e-01	
 5.1965e-01	 4.1717e-01	 4.8238e-01	
 5.2620e-01	 4.1744e-01	 4.8481e-01	
 5.3275e-01	 4.1879e-01	 4.8724e-01	
 5.4476e-01	 4.2055e-01	 4.8481e-01	
 5.0437e-01	 4.2230e-01	 4.5930e-01	
 5.2620e-01	 4.2136e-01	 4.8724e-01	
 5.1419e-01	 4.1839e-01	 4.5930e-01	
 5.0218e-01	 4.2365e-01	 4.5930e-01	
 5.1638e-01	 4.2136e-01	 4.7145e-01	
 5.1856e-01	 4.1771e-01	 4.7995e-01	
 5.2074e-01	 4.2500e-01	 4.7631e-01	
 5.1310e-01	 4.1974e-01	 4.6537e-01	
 5.1310e-01	 4.1704e-01	 4.7631e-01	
 5.1856e-01	 4.2271e-01	 4.7995e-01	
 5.0764e-01	 4.1407e-01	 4.6902e-01	
 5.1310e-01	 4.2460e-01	 4.6537e-01	
 5.3930e-01	 4.1758e-01	 5.0182e-01	
 5.1310e-01	 4.1906e-01	 4.6537e-01	
 5.1419e-01	 4.2014e-01	 4.7145e-01	
 5.2293e-01	 4.2190e-01	 4.8846e-01	
 5.1856e-01	 4.2311e-01	 4.7995e-01	
 5.2402e-01	 4.1731e-01	 4.8238e-01	
 5.2402e-01	 4.2095e-01	 4.7631e-01	
 5.1310e-01	 4.1920e-01	 4.6537e-01	
 5.1856e-01	 4.2149e-01	 4.7995e-01	
 5.2620e-01	 4.2203e-01	 4.8481e-01	
 6.0699e-01	 4.1933e-01	 5.4313e-01	
 5.1638e-01	 4.1893e-01	 4.7145e-01	
 5.1528e-01	 4.2163e-01	 4.7388e-01	
 5.1092e-01	 4.1947e-01	 4.7509e-01	
 5.1528e-01	 4.2122e-01	 4.7388e-01	
 6.1463e-01	 4.1798e-01	 5.5407e-01	
 5.0437e-01	 4.2041e-01	 4.5930e-01	
 5.0546e-01	 4.2149e-01	 4.7145e-01	
 5.1310e-01	 4.1866e-01	 4.6537e-01	
 6.0480e-01	 4.2163e-01	 5.4313e-01	
 5.1419e-01	 4.1812e-01	 4.7145e-01	
 5.2293e-01	 4.1771e-01	 4.8846e-01	
 6.0699e-01	 4.2041e-01	 5.4313e-01	
 5.2402e-01	 4.2244e-01	 4.7631e-01	
 5.4476e-01	 4.1974e-01	 5.0304e-01	
 5.2074e-01	 4.1879e-01	 4.8117e-01	
 5.2402e-01	 4.1974e-01	 4.7631e-01	
 5.5022e-01	 4.2230e-01	 5.0668e-01	
 5.2402e-01	 4.2001e-01	 4.7631e-01	
 5.1856e-01	 4.1758e-01	 4.7995e-01	
 6.1354e-01	 4.1987e-01	 5.6015e-01	
 6.0153e-01	 4.1609e-01	 5.4678e-01	
 5.2620e-01	 4.2001e-01	 4.8481e-01	
 5.0764e-01	 4.2001e-01	 4.6902e-01	
 5.1638e-01	 4.2095e-01	 4.7145e-01	
 5.3930e-01	 4.2325e-01	 4.9575e-01	
 5.0873e-01	 4.1879e-01	 4.5687e-01	
 5.4803e-01	 4.2392e-01	 5.0547e-01	
 5.9498e-01	 4.1920e-01	 5.2977e-01	
 5.1856e-01	 4.2284e-01	 4.7266e-01	
 5.0873e-01	 4.2203e-01	 4.5687e-01	
 6.0699e-01	 4.1974e-01	 5.4435e-01	
 5.2074e-01	 4.1798e-01	 4.7995e-01	
 5.2620e-01	 4.1866e-01	 4.8481e-01	
