Test Error	Training Error	Valid Error	
 6.1980e-01	 6.8787e-01	 6.0960e-01	
 5.1620e-01	 4.9022e-01	 5.1180e-01	
 4.9060e-01	 3.9469e-01	 4.8500e-01	
 4.3700e-01	 3.4647e-01	 4.2760e-01	
 3.7160e-01	 3.1438e-01	 3.6380e-01	
 3.4170e-01	 2.9373e-01	 3.3420e-01	
 3.3250e-01	 2.7636e-01	 3.1620e-01	
 3.2600e-01	 2.6144e-01	 3.0840e-01	
 3.3980e-01	 2.5542e-01	 3.3280e-01	
 2.6640e-01	 2.4251e-01	 2.5480e-01	
 2.5190e-01	 2.3920e-01	 2.4340e-01	
 2.3910e-01	 2.3320e-01	 2.3400e-01	
 2.6570e-01	 2.2900e-01	 2.5400e-01	
 2.5650e-01	 2.2762e-01	 2.4300e-01	
 2.5570e-01	 2.2087e-01	 2.5240e-01	
 2.5780e-01	 2.2307e-01	 2.5040e-01	
 2.3790e-01	 2.1827e-01	 2.3100e-01	
 2.3900e-01	 2.1789e-01	 2.3380e-01	
 2.5950e-01	 2.1220e-01	 2.4220e-01	
 2.4930e-01	 2.1558e-01	 2.4420e-01	
 3.0860e-01	 2.1307e-01	 3.0840e-01	
 2.4420e-01	 2.0927e-01	 2.3460e-01	
 2.9260e-01	 2.0929e-01	 2.8160e-01	
 2.2440e-01	 2.0624e-01	 2.2040e-01	
 2.4050e-01	 2.0716e-01	 2.3080e-01	
 2.3770e-01	 2.0682e-01	 2.2040e-01	
 2.6450e-01	 2.0493e-01	 2.5860e-01	
 2.3660e-01	 2.0398e-01	 2.2520e-01	
 2.1700e-01	 2.0420e-01	 2.0960e-01	
 2.3170e-01	 2.0589e-01	 2.2620e-01	
 2.3070e-01	 2.0098e-01	 2.2080e-01	
 2.4940e-01	 2.0480e-01	 2.4580e-01	
 2.5930e-01	 2.0344e-01	 2.5380e-01	
 2.2880e-01	 2.0058e-01	 2.2820e-01	
 2.5640e-01	 1.9807e-01	 2.4160e-01	
 2.3540e-01	 2.0151e-01	 2.2320e-01	
 2.2300e-01	 2.0180e-01	 2.0960e-01	
 2.3770e-01	 1.9771e-01	 2.3580e-01	
 2.3780e-01	 1.9893e-01	 2.3540e-01	
 2.6830e-01	 1.9873e-01	 2.6200e-01	
 2.1460e-01	 2.0056e-01	 2.1160e-01	
 2.6640e-01	 1.9664e-01	 2.6120e-01	
 2.7360e-01	 1.9691e-01	 2.5880e-01	
 2.5330e-01	 1.9651e-01	 2.4940e-01	
 2.5550e-01	 1.9749e-01	 2.5000e-01	
 2.5800e-01	 1.9551e-01	 2.4600e-01	
 2.3520e-01	 1.9582e-01	 2.2900e-01	
 2.9070e-01	 1.9604e-01	 2.7080e-01	
 2.5360e-01	 1.9711e-01	 2.4180e-01	
 2.4610e-01	 1.9327e-01	 2.3320e-01	
 1.9200e-01	 1.6191e-01	 1.8360e-01	
 2.0150e-01	 1.5149e-01	 1.9680e-01	
 1.8550e-01	 1.5118e-01	 1.7760e-01	
 1.8660e-01	 1.4842e-01	 1.8340e-01	
 1.8390e-01	 1.4218e-01	 1.7080e-01	
 2.1560e-01	 1.4584e-01	 2.1600e-01	
 2.0810e-01	 1.3949e-01	 1.9120e-01	
 1.9370e-01	 1.4331e-01	 1.7900e-01	
 1.8360e-01	 1.4227e-01	 1.7380e-01	
 1.9160e-01	 1.4256e-01	 1.8720e-01	
 1.9140e-01	 1.3951e-01	 1.7920e-01	
 1.9140e-01	 1.4111e-01	 1.8720e-01	
 1.9060e-01	 1.3911e-01	 1.8320e-01	
 1.8860e-01	 1.4329e-01	 1.7640e-01	
 1.9980e-01	 1.4038e-01	 1.8880e-01	
 1.7780e-01	 1.4029e-01	 1.7600e-01	
 1.8580e-01	 1.3771e-01	 1.7360e-01	
 1.9910e-01	 1.3800e-01	 2.0360e-01	
 2.1370e-01	 1.4027e-01	 2.0560e-01	
 1.9560e-01	 1.3707e-01	 1.8560e-01	
 1.9600e-01	 1.3758e-01	 1.8520e-01	
 1.8260e-01	 1.3822e-01	 1.7540e-01	
 2.0540e-01	 1.3964e-01	 1.9980e-01	
 1.8790e-01	 1.3393e-01	 1.8040e-01	
 1.8690e-01	 1.3818e-01	 1.7600e-01	
 1.9900e-01	 1.3589e-01	 1.8160e-01	
 1.6880e-01	 1.3907e-01	 1.6580e-01	
 1.8030e-01	 1.3596e-01	 1.6900e-01	
 2.3350e-01	 1.4013e-01	 2.2840e-01	
