Test Error	Training Error	Valid Error	
 9.7730e-01	 9.8444e-01	 9.7620e-01	
 9.7980e-01	 9.8233e-01	 9.7760e-01	
 9.7580e-01	 9.8011e-01	 9.7520e-01	
 9.7540e-01	 9.7620e-01	 9.7439e-01	
 9.7240e-01	 9.7311e-01	 9.6839e-01	
 9.7040e-01	 9.6956e-01	 9.6639e-01	
 9.6340e-01	 9.6384e-01	 9.6319e-01	
 9.6140e-01	 9.5949e-01	 9.5919e-01	
 9.5750e-01	 9.5664e-01	 9.5919e-01	
 9.5450e-01	 9.5458e-01	 9.5299e-01	
 9.5240e-01	 9.5207e-01	 9.5059e-01	
 9.4680e-01	 9.5004e-01	 9.4619e-01	
 9.4390e-01	 9.4611e-01	 9.3959e-01	
 9.4310e-01	 9.4160e-01	 9.4079e-01	
 9.3290e-01	 9.3718e-01	 9.2859e-01	
 9.3220e-01	 9.3242e-01	 9.2679e-01	
 9.2580e-01	 9.2282e-01	 9.1738e-01	
 9.1230e-01	 9.1438e-01	 9.0838e-01	
 9.1520e-01	 9.0609e-01	 9.1018e-01	
 9.0930e-01	 8.9818e-01	 9.0818e-01	
 9.0270e-01	 8.9062e-01	 9.0458e-01	
 8.9360e-01	 8.8322e-01	 8.9878e-01	
 8.9070e-01	 8.7009e-01	 8.8798e-01	
 8.8290e-01	 8.6113e-01	 8.8158e-01	
 8.6910e-01	 8.5027e-01	 8.7838e-01	
 8.6280e-01	 8.3844e-01	 8.6037e-01	
 8.5070e-01	 8.2749e-01	 8.5657e-01	
 8.3490e-01	 8.1553e-01	 8.5157e-01	
 8.3410e-01	 8.0193e-01	 8.4517e-01	
 8.2150e-01	 7.9264e-01	 8.3197e-01	
 7.8980e-01	 7.7920e-01	 7.9916e-01	
 7.9630e-01	 7.6684e-01	 8.0036e-01	
 7.7530e-01	 7.5629e-01	 7.8336e-01	
 7.8070e-01	 7.4436e-01	 7.8636e-01	
 7.4050e-01	 7.3538e-01	 7.5035e-01	
 7.5390e-01	 7.2491e-01	 7.6075e-01	
 7.4390e-01	 7.1460e-01	 7.4455e-01	
 7.2990e-01	 7.0044e-01	 7.3655e-01	
 7.4970e-01	 6.9433e-01	 7.4995e-01	
 7.2500e-01	 6.8327e-01	 7.2775e-01	
 6.9770e-01	 6.7184e-01	 7.0614e-01	
 6.8330e-01	 6.6840e-01	 6.8774e-01	
 7.0070e-01	 6.6036e-01	 7.0794e-01	
 6.8690e-01	 6.5336e-01	 7.0674e-01	
 6.6470e-01	 6.4673e-01	 6.7393e-01	
