Test Error	Training Error	Valid Error	
 4.7140e-01	 5.8267e-01	 4.5760e-01	
 3.7530e-01	 4.0780e-01	 3.7260e-01	
 3.1780e-01	 3.4989e-01	 3.0520e-01	
 2.9080e-01	 3.1229e-01	 2.8480e-01	
 2.9560e-01	 2.8871e-01	 2.8940e-01	
 2.5380e-01	 2.7391e-01	 2.4100e-01	
 2.4430e-01	 2.6409e-01	 2.3720e-01	
 2.6090e-01	 2.5478e-01	 2.5700e-01	
 2.9730e-01	 2.4584e-01	 3.0020e-01	
 2.5750e-01	 2.4473e-01	 2.5440e-01	
 2.3550e-01	 2.3802e-01	 2.3300e-01	
 2.3510e-01	 2.3433e-01	 2.2940e-01	
 2.3920e-01	 2.3182e-01	 2.3440e-01	
 2.1720e-01	 2.2551e-01	 2.2240e-01	
 2.3480e-01	 2.2187e-01	 2.2080e-01	
 2.2190e-01	 2.2089e-01	 2.2200e-01	
 2.1770e-01	 2.2140e-01	 2.1440e-01	
 2.1340e-01	 2.2051e-01	 2.1400e-01	
 2.1430e-01	 2.1607e-01	 2.0780e-01	
 2.2090e-01	 2.1702e-01	 2.1540e-01	
 2.1230e-01	 2.1420e-01	 2.0440e-01	
 2.2330e-01	 2.1496e-01	 2.1500e-01	
 2.2590e-01	 2.1302e-01	 2.1640e-01	
 2.0950e-01	 2.1091e-01	 2.0320e-01	
 2.2330e-01	 2.1167e-01	 2.2200e-01	
 2.1840e-01	 2.1184e-01	 2.1840e-01	
 1.9760e-01	 2.0993e-01	 1.9180e-01	
 2.2510e-01	 2.0984e-01	 2.1780e-01	
 2.3440e-01	 2.1360e-01	 2.1280e-01	
 2.1450e-01	 2.1138e-01	 2.1100e-01	
 2.0280e-01	 2.1013e-01	 1.8940e-01	
 2.3760e-01	 2.1044e-01	 2.2380e-01	
 2.0460e-01	 2.0709e-01	 1.9940e-01	
 2.1150e-01	 2.0840e-01	 1.9580e-01	
 2.4480e-01	 2.0913e-01	 2.3500e-01	
 2.4070e-01	 2.0640e-01	 2.2900e-01	
 2.3270e-01	 2.0871e-01	 2.1960e-01	
 2.0840e-01	 2.1109e-01	 2.0660e-01	
 2.1020e-01	 2.0564e-01	 1.9240e-01	
 2.4250e-01	 2.0647e-01	 2.3340e-01	
 2.0580e-01	 2.0538e-01	 2.0140e-01	
 2.2610e-01	 2.0487e-01	 2.1640e-01	
 2.0190e-01	 2.0489e-01	 1.8440e-01	
 2.2670e-01	 2.0451e-01	 2.1660e-01	
 2.3070e-01	 2.0440e-01	 2.1480e-01	
 2.2510e-01	 2.0378e-01	 2.1400e-01	
 2.1570e-01	 2.0642e-01	 2.0540e-01	
 1.9990e-01	 2.0436e-01	 1.9240e-01	
 2.0530e-01	 2.0311e-01	 2.0020e-01	
 2.3260e-01	 2.0133e-01	 2.1780e-01	
 1.7460e-01	 1.7551e-01	 1.7400e-01	
