Test Error	Training Error	Valid Error	
 8.7882e-01	 8.8038e-01	 8.6634e-01	
 8.7009e-01	 7.6482e-01	 8.4569e-01	
 7.4017e-01	 6.9785e-01	 7.4241e-01	
 6.8559e-01	 6.7814e-01	 6.7922e-01	
 6.8559e-01	 6.7301e-01	 6.7922e-01	
 6.8559e-01	 6.6937e-01	 6.7922e-01	
 7.3035e-01	 6.5789e-01	 7.2539e-01	
 8.0677e-01	 6.3507e-01	 7.8372e-01	
 7.8821e-01	 6.1577e-01	 7.8736e-01	
 7.4454e-01	 6.1658e-01	 6.9380e-01	
 7.9039e-01	 6.0065e-01	 7.3633e-01	
 7.2926e-01	 6.0119e-01	 6.8408e-01	
 6.4192e-01	 5.9970e-01	 6.0510e-01	
 7.3581e-01	 5.9997e-01	 6.8287e-01	
 6.4192e-01	 5.9943e-01	 6.0510e-01	
 7.3581e-01	 6.0389e-01	 6.8287e-01	
 7.7511e-01	 5.9862e-01	 7.2661e-01	
 7.4454e-01	 6.0092e-01	 6.9380e-01	
 7.8057e-01	 6.0038e-01	 7.2661e-01	
 7.7511e-01	 6.0240e-01	 7.2661e-01	
 7.9039e-01	 6.0213e-01	 7.3633e-01	
 6.4192e-01	 6.0159e-01	 6.0510e-01	
 7.9039e-01	 6.0011e-01	 7.3633e-01	
 6.4192e-01	 6.0362e-01	 6.0510e-01	
 7.3581e-01	 6.0200e-01	 6.8287e-01	
 6.4192e-01	 5.9970e-01	 6.0510e-01	
 7.4454e-01	 5.9889e-01	 6.9380e-01	
 7.9039e-01	 6.0200e-01	 7.3633e-01	
 8.4498e-01	 6.0065e-01	 7.9951e-01	
 7.4454e-01	 6.0146e-01	 6.9380e-01	
 7.8166e-01	 6.0092e-01	 7.2539e-01	
 7.9039e-01	 6.0065e-01	 7.3633e-01	
 7.9039e-01	 5.9984e-01	 7.3633e-01	
 6.4192e-01	 6.0024e-01	 6.0510e-01	
 7.8166e-01	 5.9862e-01	 7.2539e-01	
 7.3581e-01	 6.0146e-01	 6.8287e-01	
 7.3581e-01	 6.0132e-01	 6.8287e-01	
 7.3581e-01	 5.9957e-01	 6.8287e-01	
 7.3581e-01	 5.9903e-01	 6.8287e-01	
 7.9039e-01	 6.0011e-01	 7.3633e-01	
 7.8057e-01	 5.9957e-01	 7.2661e-01	
 6.4192e-01	 6.0078e-01	 6.0510e-01	
 6.4192e-01	 6.0105e-01	 6.0510e-01	
 7.3581e-01	 6.0024e-01	 6.8287e-01	
 7.3472e-01	 6.0011e-01	 6.8408e-01	
 7.4454e-01	 6.0011e-01	 6.9380e-01	
 7.6638e-01	 5.9822e-01	 7.1567e-01	
 8.4498e-01	 5.9930e-01	 7.9951e-01	
 7.3581e-01	 6.0011e-01	 6.8287e-01	
 7.3581e-01	 5.9876e-01	 6.8287e-01	
 6.4192e-01	 6.0119e-01	 6.0510e-01	
 7.9039e-01	 5.9903e-01	 7.3633e-01	
 7.2052e-01	 6.0011e-01	 6.7315e-01	
 7.9039e-01	 6.0051e-01	 7.3633e-01	
 6.4192e-01	 5.9714e-01	 6.0510e-01	
 6.4192e-01	 5.9957e-01	 6.0510e-01	
 7.7511e-01	 5.9984e-01	 7.2661e-01	
 6.4192e-01	 6.0092e-01	 6.0510e-01	
 7.4454e-01	 6.0213e-01	 6.9380e-01	
 7.3581e-01	 5.9862e-01	 6.8287e-01	
 7.4454e-01	 5.9714e-01	 6.9380e-01	
 8.4498e-01	 5.9930e-01	 7.9951e-01	
 7.3581e-01	 5.9984e-01	 6.8287e-01	
 7.3581e-01	 5.9930e-01	 6.8287e-01	
 7.3581e-01	 5.9997e-01	 6.8287e-01	
 7.3581e-01	 5.9862e-01	 6.8287e-01	
 6.4192e-01	 5.9984e-01	 6.0510e-01	
 6.4192e-01	 6.0308e-01	 6.0510e-01	
 6.8777e-01	 5.9916e-01	 6.5249e-01	
 7.6638e-01	 5.9997e-01	 7.1567e-01	
 7.3581e-01	 6.0011e-01	 6.8287e-01	
 7.3581e-01	 6.0051e-01	 6.8287e-01	
 6.4192e-01	 6.0024e-01	 6.0510e-01	
 7.3581e-01	 6.0051e-01	 6.8287e-01	
 7.9039e-01	 5.9984e-01	 7.3633e-01	
 7.9039e-01	 5.9876e-01	 7.3633e-01	
 7.2052e-01	 5.9741e-01	 6.7315e-01	
 7.9039e-01	 5.9957e-01	 7.3633e-01	
 7.3581e-01	 5.9795e-01	 6.8287e-01	
 7.3581e-01	 5.9970e-01	 6.8287e-01	
 6.4192e-01	 5.9984e-01	 6.0510e-01	
 7.9039e-01	 6.0051e-01	 7.3633e-01	
 7.6638e-01	 5.9903e-01	 7.1567e-01	
 7.9039e-01	 5.9849e-01	 7.3633e-01	
 6.2664e-01	 6.0132e-01	 5.9538e-01	
 7.3581e-01	 5.9876e-01	 6.8287e-01	
 8.4498e-01	 5.9835e-01	 7.9951e-01	
 7.9039e-01	 5.9930e-01	 7.3633e-01	
 7.9039e-01	 6.0011e-01	 7.3633e-01	
 8.4498e-01	 6.0119e-01	 7.9951e-01	
 7.9039e-01	 5.9997e-01	 7.3633e-01	
 6.8777e-01	 6.0051e-01	 6.4763e-01	
 6.4192e-01	 5.9903e-01	 6.0510e-01	
 7.3581e-01	 5.9889e-01	 6.8287e-01	
 7.8166e-01	 6.0051e-01	 7.2539e-01	
 8.4498e-01	 5.9835e-01	 7.9951e-01	
 7.3581e-01	 5.9795e-01	 6.8287e-01	
 7.8166e-01	 6.0011e-01	 7.2539e-01	
 7.3581e-01	 5.9984e-01	 6.8287e-01	
 7.9039e-01	 6.0213e-01	 7.3633e-01	
 7.2598e-01	 5.9876e-01	 6.7315e-01	
 7.3581e-01	 5.9876e-01	 6.8287e-01	
 7.4454e-01	 5.9984e-01	 6.9380e-01	
 7.9039e-01	 6.0051e-01	 7.3633e-01	
 7.4454e-01	 6.0038e-01	 6.9380e-01	
 7.9039e-01	 6.0024e-01	 7.3633e-01	
 7.9039e-01	 6.0024e-01	 7.3633e-01	
 7.3581e-01	 5.9889e-01	 6.8287e-01	
 7.2598e-01	 5.9984e-01	 6.7315e-01	
 6.2664e-01	 5.9930e-01	 5.9538e-01	
 8.4498e-01	 6.0065e-01	 7.9951e-01	
 7.3581e-01	 5.9903e-01	 6.8287e-01	
 7.2052e-01	 5.9808e-01	 6.7315e-01	
 6.4192e-01	 6.0281e-01	 6.0510e-01	
 8.4498e-01	 6.0038e-01	 7.9951e-01	
 7.3581e-01	 6.0024e-01	 6.8287e-01	
 7.2598e-01	 6.0065e-01	 6.7315e-01	
 7.2598e-01	 6.0119e-01	 6.7315e-01	
