Test Error	Training Error	Valid Error	
 6.0580e-01	 6.6124e-01	 5.9440e-01	
 4.8430e-01	 4.8889e-01	 4.7220e-01	
 4.0220e-01	 3.8491e-01	 3.8720e-01	
 3.9700e-01	 3.2329e-01	 3.8860e-01	
 3.2290e-01	 2.9262e-01	 3.1780e-01	
 3.5670e-01	 2.7058e-01	 3.4780e-01	
 2.7210e-01	 2.5447e-01	 2.5920e-01	
 2.6580e-01	 2.4196e-01	 2.5460e-01	
 2.4890e-01	 2.3198e-01	 2.4440e-01	
 2.4730e-01	 2.2022e-01	 2.4080e-01	
 2.4730e-01	 2.1711e-01	 2.3520e-01	
 2.6900e-01	 2.1060e-01	 2.5660e-01	
 2.3490e-01	 2.0489e-01	 2.1820e-01	
 2.3880e-01	 2.0367e-01	 2.2580e-01	
 2.2680e-01	 1.9678e-01	 2.0820e-01	
 2.7410e-01	 1.9693e-01	 2.6340e-01	
 2.2530e-01	 1.8831e-01	 2.2000e-01	
 2.3250e-01	 1.8662e-01	 2.2180e-01	
 2.3370e-01	 1.8431e-01	 2.1480e-01	
 2.0450e-01	 1.8638e-01	 1.9580e-01	
 1.8780e-01	 1.5573e-01	 1.7520e-01	
 1.8710e-01	 1.4671e-01	 1.7620e-01	
 1.7610e-01	 1.4404e-01	 1.6660e-01	
 1.8040e-01	 1.3858e-01	 1.7160e-01	
 2.0270e-01	 1.3958e-01	 1.9280e-01	
 1.9380e-01	 1.4024e-01	 1.8720e-01	
 2.2040e-01	 1.3620e-01	 2.0340e-01	
 2.0160e-01	 1.3758e-01	 1.8700e-01	
 1.8170e-01	 1.3296e-01	 1.7060e-01	
 1.9340e-01	 1.3364e-01	 1.7860e-01	
 1.8070e-01	 1.3173e-01	 1.6660e-01	
 1.8990e-01	 1.3371e-01	 1.8020e-01	
 1.7920e-01	 1.3011e-01	 1.6520e-01	
 1.7810e-01	 1.2902e-01	 1.6900e-01	
 1.8500e-01	 1.3071e-01	 1.7000e-01	
 1.9060e-01	 1.2742e-01	 1.8080e-01	
 1.8120e-01	 1.2584e-01	 1.6300e-01	
 1.9250e-01	 1.2576e-01	 1.8360e-01	
 1.8750e-01	 1.2647e-01	 1.8180e-01	
 1.7860e-01	 1.2624e-01	 1.7620e-01	
 1.5760e-01	 1.0478e-01	 1.4940e-01	
 1.6530e-01	 9.6067e-02	 1.5600e-01	
 1.6540e-01	 9.3956e-02	 1.5520e-01	
 1.6510e-01	 9.1244e-02	 1.5640e-01	
 1.6310e-01	 8.8067e-02	 1.5200e-01	
 1.6140e-01	 8.8000e-02	 1.5140e-01	
 1.9110e-01	 8.5622e-02	 1.8020e-01	
 1.5860e-01	 8.5978e-02	 1.4940e-01	
 1.6610e-01	 8.5956e-02	 1.5740e-01	
 1.5740e-01	 8.5533e-02	 1.5600e-01	
 1.6670e-01	 8.4933e-02	 1.6040e-01	
 1.6700e-01	 8.3511e-02	 1.6220e-01	
 1.6270e-01	 8.2978e-02	 1.5000e-01	
 1.7190e-01	 8.1600e-02	 1.6560e-01	
 1.6670e-01	 8.3400e-02	 1.6040e-01	
 1.6840e-01	 8.0867e-02	 1.5640e-01	
 1.6540e-01	 8.2800e-02	 1.5420e-01	
 1.6240e-01	 8.0133e-02	 1.4880e-01	
 1.6220e-01	 7.9289e-02	 1.5620e-01	
 1.6950e-01	 7.8089e-02	 1.6720e-01	
 1.6220e-01	 6.8867e-02	 1.5280e-01	
 1.5540e-01	 6.1800e-02	 1.4940e-01	
 1.6030e-01	 5.9133e-02	 1.5460e-01	
 1.5210e-01	 5.6267e-02	 1.4360e-01	
 1.4980e-01	 5.6600e-02	 1.4780e-01	
 1.5970e-01	 5.3667e-02	 1.5060e-01	
 1.4930e-01	 5.5089e-02	 1.4280e-01	
 1.5480e-01	 5.4244e-02	 1.4860e-01	
 1.5330e-01	 5.2289e-02	 1.5060e-01	
 1.5130e-01	 5.1622e-02	 1.4780e-01	
 1.5490e-01	 5.4222e-02	 1.5000e-01	
 1.5180e-01	 5.0911e-02	 1.4580e-01	
 1.5940e-01	 5.1511e-02	 1.4620e-01	
 1.5500e-01	 5.0400e-02	 1.4480e-01	
 1.5690e-01	 4.9756e-02	 1.4980e-01	
 1.5810e-01	 5.0978e-02	 1.4900e-01	
 1.5950e-01	 4.8644e-02	 1.4900e-01	
 1.5480e-01	 4.8067e-02	 1.4920e-01	
 1.5020e-01	 4.7756e-02	 1.4720e-01	
 1.6060e-01	 4.8667e-02	 1.5100e-01	
 1.5010e-01	 4.0822e-02	 1.4300e-01	
 1.5280e-01	 3.9178e-02	 1.4040e-01	
 1.4200e-01	 3.8178e-02	 1.4100e-01	
 1.4820e-01	 3.8222e-02	 1.4620e-01	
 1.4440e-01	 3.6867e-02	 1.3780e-01	
 1.5390e-01	 3.7089e-02	 1.4600e-01	
 1.4840e-01	 3.5311e-02	 1.3840e-01	
 1.4820e-01	 3.6311e-02	 1.4400e-01	
 1.4430e-01	 3.3489e-02	 1.4040e-01	
 1.5580e-01	 3.5422e-02	 1.4520e-01	
 1.4710e-01	 3.5978e-02	 1.4420e-01	
 1.4530e-01	 3.6711e-02	 1.3440e-01	
 1.5100e-01	 3.4422e-02	 1.4320e-01	
 1.4860e-01	 3.3778e-02	 1.4020e-01	
 1.4750e-01	 3.3444e-02	 1.4100e-01	
 1.4650e-01	 3.3778e-02	 1.3600e-01	
 1.4660e-01	 3.3222e-02	 1.3800e-01	
 1.4290e-01	 3.2978e-02	 1.3900e-01	
 1.4530e-01	 3.1933e-02	 1.4220e-01	
 1.4440e-01	 3.2467e-02	 1.4020e-01	
 1.4510e-01	 2.8533e-02	 1.3840e-01	
 1.4660e-01	 2.7467e-02	 1.3520e-01	
 1.4740e-01	 2.5822e-02	 1.4260e-01	
 1.4250e-01	 2.6756e-02	 1.3240e-01	
 1.4300e-01	 2.7178e-02	 1.4120e-01	
 1.4870e-01	 2.8378e-02	 1.3900e-01	
 1.5060e-01	 2.8467e-02	 1.4080e-01	
 1.4410e-01	 2.5133e-02	 1.3740e-01	
 1.4990e-01	 2.6022e-02	 1.4000e-01	
 1.4760e-01	 2.6800e-02	 1.3840e-01	
 1.4870e-01	 2.6600e-02	 1.4200e-01	
 1.4490e-01	 2.6622e-02	 1.3680e-01	
