Test Error	Training Error	Valid Error	
 9.2470e-01	 9.5180e-01	 9.2398e-01	
 8.9900e-01	 9.1576e-01	 8.9998e-01	
 8.6460e-01	 8.8980e-01	 8.6857e-01	
 8.6030e-01	 8.7067e-01	 8.6557e-01	
 8.4550e-01	 8.5738e-01	 8.4737e-01	
 8.2710e-01	 8.4573e-01	 8.2757e-01	
 8.1610e-01	 8.2973e-01	 8.1736e-01	
 7.9690e-01	 8.1873e-01	 7.9976e-01	
 7.8600e-01	 8.0476e-01	 7.8456e-01	
 7.6740e-01	 7.9264e-01	 7.6335e-01	
 7.6160e-01	 7.8356e-01	 7.6455e-01	
 7.4670e-01	 7.7120e-01	 7.4655e-01	
 7.4410e-01	 7.5978e-01	 7.4575e-01	
 7.3670e-01	 7.4689e-01	 7.3895e-01	
 7.1990e-01	 7.3629e-01	 7.2234e-01	
 7.2130e-01	 7.3000e-01	 7.2014e-01	
 7.0220e-01	 7.2200e-01	 6.9974e-01	
 7.0520e-01	 7.1424e-01	 6.9394e-01	
 6.9500e-01	 7.0502e-01	 6.9274e-01	
 6.9850e-01	 7.0058e-01	 6.9994e-01	
 6.9000e-01	 6.9102e-01	 6.8374e-01	
 6.7810e-01	 6.8524e-01	 6.7754e-01	
 6.7500e-01	 6.7676e-01	 6.7994e-01	
 6.8000e-01	 6.7404e-01	 6.7614e-01	
 6.7010e-01	 6.6807e-01	 6.6513e-01	
 6.5680e-01	 6.6024e-01	 6.5433e-01	
 6.5510e-01	 6.5949e-01	 6.5273e-01	
 6.4010e-01	 6.5569e-01	 6.4053e-01	
 6.5060e-01	 6.4980e-01	 6.5113e-01	
 6.4430e-01	 6.4573e-01	 6.4633e-01	
 6.2950e-01	 6.4478e-01	 6.3413e-01	
 6.4280e-01	 6.3993e-01	 6.4113e-01	
 6.4140e-01	 6.3393e-01	 6.3993e-01	
 6.3840e-01	 6.3040e-01	 6.3313e-01	
 6.3630e-01	 6.2933e-01	 6.2593e-01	
 6.3140e-01	 6.2862e-01	 6.2112e-01	
 6.2440e-01	 6.2473e-01	 6.1612e-01	
 6.1610e-01	 6.2351e-01	 6.1532e-01	
 6.2420e-01	 6.1911e-01	 6.1472e-01	
 6.1960e-01	 6.1602e-01	 6.1952e-01	
 6.1730e-01	 6.1520e-01	 6.1552e-01	
 6.2090e-01	 6.1260e-01	 6.2412e-01	
 6.1700e-01	 6.1293e-01	 6.1632e-01	
 6.1590e-01	 6.0669e-01	 6.1612e-01	
 5.9800e-01	 6.0500e-01	 5.9952e-01	
 5.9960e-01	 6.0529e-01	 6.0652e-01	
 6.0290e-01	 6.0378e-01	 6.0272e-01	
 6.0080e-01	 6.0067e-01	 6.0952e-01	
 5.9290e-01	 5.9622e-01	 5.8952e-01	
 5.9770e-01	 5.9944e-01	 6.0212e-01	
 5.8250e-01	 5.8711e-01	 5.8212e-01	
 5.8990e-01	 5.8618e-01	 5.8732e-01	
 6.0340e-01	 5.7969e-01	 5.9972e-01	
 5.7890e-01	 5.8000e-01	 5.7411e-01	
 5.9180e-01	 5.7771e-01	 5.9192e-01	
 5.8100e-01	 5.7649e-01	 5.8192e-01	
 5.7900e-01	 5.7769e-01	 5.7411e-01	
 5.7890e-01	 5.7478e-01	 5.8232e-01	
 5.8840e-01	 5.7378e-01	 5.8732e-01	
 5.8050e-01	 5.7429e-01	 5.7491e-01	
 5.8090e-01	 5.7351e-01	 5.8392e-01	
 5.8390e-01	 5.7493e-01	 5.8512e-01	
 5.7990e-01	 5.7331e-01	 5.7151e-01	
 5.8820e-01	 5.6982e-01	 5.9092e-01	
 5.7390e-01	 5.7087e-01	 5.6851e-01	
 5.7990e-01	 5.6996e-01	 5.8152e-01	
 5.8150e-01	 5.6671e-01	 5.7351e-01	
 5.8390e-01	 5.6929e-01	 5.7992e-01	
 5.6920e-01	 5.6900e-01	 5.6291e-01	
 5.7720e-01	 5.6533e-01	 5.8052e-01	
 5.7140e-01	 5.6536e-01	 5.6911e-01	
 5.7190e-01	 5.6662e-01	 5.6831e-01	
 5.7530e-01	 5.6727e-01	 5.7051e-01	
 5.7270e-01	 5.6789e-01	 5.6891e-01	
 5.7160e-01	 5.6580e-01	 5.6411e-01	
 5.7940e-01	 5.6453e-01	 5.7271e-01	
 5.6330e-01	 5.6447e-01	 5.6831e-01	
 5.7560e-01	 5.6304e-01	 5.8112e-01	
 5.6590e-01	 5.6564e-01	 5.6991e-01	
 5.6060e-01	 5.6151e-01	 5.5931e-01	
 5.6540e-01	 5.6116e-01	 5.6251e-01	
