Test Error	Training Error	Valid Error	
 6.9430e-01	 7.3827e-01	 6.8960e-01	
 5.2570e-01	 5.7551e-01	 5.0960e-01	
 4.4030e-01	 4.7644e-01	 4.2760e-01	
 4.4550e-01	 4.1729e-01	 4.3260e-01	
 3.7000e-01	 3.9376e-01	 3.6800e-01	
 3.5780e-01	 3.7396e-01	 3.5620e-01	
 3.5860e-01	 3.6089e-01	 3.5180e-01	
 3.2980e-01	 3.4933e-01	 3.2380e-01	
 3.1860e-01	 3.4796e-01	 3.0660e-01	
 3.1570e-01	 3.3864e-01	 3.1040e-01	
 3.2710e-01	 3.3038e-01	 3.2100e-01	
 3.1450e-01	 3.2500e-01	 3.0240e-01	
 3.1460e-01	 3.1984e-01	 3.0220e-01	
 2.9320e-01	 3.1729e-01	 2.8140e-01	
 2.9750e-01	 3.1276e-01	 2.8160e-01	
 3.0190e-01	 3.0684e-01	 2.8480e-01	
 2.9680e-01	 3.0351e-01	 2.8980e-01	
 2.7630e-01	 3.0471e-01	 2.7100e-01	
 3.0210e-01	 3.0093e-01	 2.9360e-01	
 2.8250e-01	 2.9731e-01	 2.7440e-01	
 2.7600e-01	 2.9849e-01	 2.7260e-01	
 2.7180e-01	 2.9707e-01	 2.5560e-01	
 2.7840e-01	 2.9833e-01	 2.7660e-01	
 2.7200e-01	 2.9324e-01	 2.6820e-01	
 2.6360e-01	 2.9558e-01	 2.4940e-01	
 2.6850e-01	 2.9202e-01	 2.5220e-01	
 2.7740e-01	 2.9249e-01	 2.6440e-01	
 2.9260e-01	 2.9029e-01	 2.8420e-01	
 2.6950e-01	 2.9018e-01	 2.6940e-01	
 2.6470e-01	 2.8667e-01	 2.5920e-01	
 2.6980e-01	 2.8849e-01	 2.6540e-01	
 2.5770e-01	 2.8849e-01	 2.4800e-01	
 2.5590e-01	 2.8678e-01	 2.4820e-01	
 2.6950e-01	 2.8700e-01	 2.7200e-01	
 2.6950e-01	 2.8671e-01	 2.6840e-01	
 2.6530e-01	 2.8611e-01	 2.5060e-01	
 2.6310e-01	 2.8764e-01	 2.5540e-01	
 2.6860e-01	 2.8849e-01	 2.5100e-01	
 2.6010e-01	 2.8469e-01	 2.5060e-01	
 2.7840e-01	 2.8616e-01	 2.7440e-01	
 2.9330e-01	 2.8524e-01	 2.8800e-01	
 2.6130e-01	 2.8498e-01	 2.4480e-01	
 2.5630e-01	 2.8424e-01	 2.4580e-01	
 2.6980e-01	 2.8360e-01	 2.6400e-01	
 2.7200e-01	 2.8529e-01	 2.6540e-01	
 2.7270e-01	 2.8742e-01	 2.6140e-01	
 2.7910e-01	 2.8378e-01	 2.7260e-01	
 2.7140e-01	 2.8418e-01	 2.6060e-01	
 2.6430e-01	 2.8358e-01	 2.5920e-01	
 2.7370e-01	 2.8407e-01	 2.7000e-01	
 2.3660e-01	 2.6598e-01	 2.4040e-01	
 2.4120e-01	 2.5704e-01	 2.3380e-01	
 2.4020e-01	 2.5900e-01	 2.3040e-01	
 2.3370e-01	 2.5722e-01	 2.2980e-01	
 2.4600e-01	 2.5793e-01	 2.3920e-01	
 2.3900e-01	 2.5731e-01	 2.3300e-01	
 2.4510e-01	 2.5456e-01	 2.4160e-01	
 2.3470e-01	 2.5542e-01	 2.2640e-01	
 2.3040e-01	 2.5671e-01	 2.1780e-01	
 2.3790e-01	 2.5493e-01	 2.2500e-01	
 2.8230e-01	 2.5351e-01	 2.7960e-01	
 2.3490e-01	 2.5618e-01	 2.2640e-01	
