Test Error	Training Error	Valid Error	
 9.2260e-01	 9.3589e-01	 9.2458e-01	
 8.9520e-01	 8.9702e-01	 8.9718e-01	
 8.7070e-01	 8.7404e-01	 8.7838e-01	
 8.5000e-01	 8.5424e-01	 8.5077e-01	
 8.3100e-01	 8.3618e-01	 8.3997e-01	
 8.0100e-01	 8.2009e-01	 8.0356e-01	
 7.9160e-01	 8.0127e-01	 7.8936e-01	
 7.5950e-01	 7.8618e-01	 7.6455e-01	
 7.5170e-01	 7.7262e-01	 7.5995e-01	
 7.4330e-01	 7.5807e-01	 7.4475e-01	
 7.2660e-01	 7.4600e-01	 7.2875e-01	
 7.1820e-01	 7.3000e-01	 7.1754e-01	
 7.3020e-01	 7.2204e-01	 7.2755e-01	
 7.0480e-01	 7.0782e-01	 7.0214e-01	
 6.9930e-01	 7.0027e-01	 7.0554e-01	
 6.8770e-01	 6.8964e-01	 6.8434e-01	
 6.7870e-01	 6.7924e-01	 6.7714e-01	
 6.6710e-01	 6.7289e-01	 6.6553e-01	
 6.7330e-01	 6.6431e-01	 6.7934e-01	
 6.5150e-01	 6.5860e-01	 6.5333e-01	
 6.4380e-01	 6.5269e-01	 6.5113e-01	
 6.5100e-01	 6.4227e-01	 6.5433e-01	
 6.4380e-01	 6.4344e-01	 6.4353e-01	
 6.3280e-01	 6.3667e-01	 6.3153e-01	
 6.3250e-01	 6.2989e-01	 6.3193e-01	
 6.3010e-01	 6.2507e-01	 6.3553e-01	
 6.2550e-01	 6.2004e-01	 6.1992e-01	
 6.2290e-01	 6.1656e-01	 6.2192e-01	
 6.1570e-01	 6.1407e-01	 6.1652e-01	
 6.1300e-01	 6.0504e-01	 6.0892e-01	
 6.1050e-01	 6.0380e-01	 6.1072e-01	
 6.0450e-01	 6.0471e-01	 6.0612e-01	
 6.0480e-01	 5.9807e-01	 6.0792e-01	
 6.0310e-01	 5.9782e-01	 6.0532e-01	
 5.9440e-01	 5.9336e-01	 5.9112e-01	
 5.8140e-01	 5.9029e-01	 5.8092e-01	
 5.9140e-01	 5.8587e-01	 5.8332e-01	
 5.8420e-01	 5.8289e-01	 5.8472e-01	
 5.8280e-01	 5.8064e-01	 5.8772e-01	
 5.7940e-01	 5.7682e-01	 5.7892e-01	
 5.8290e-01	 5.7647e-01	 5.7972e-01	
 5.6920e-01	 5.7367e-01	 5.7532e-01	
 5.7910e-01	 5.6984e-01	 5.8212e-01	
 5.7280e-01	 5.7260e-01	 5.6791e-01	
 5.7370e-01	 5.6869e-01	 5.6691e-01	
 5.7530e-01	 5.6551e-01	 5.8252e-01	
 5.7860e-01	 5.6369e-01	 5.7652e-01	
 5.6450e-01	 5.6256e-01	 5.6791e-01	
 5.7080e-01	 5.5591e-01	 5.6671e-01	
 5.6690e-01	 5.6058e-01	 5.5851e-01	
 5.5370e-01	 5.4031e-01	 5.5451e-01	
 5.4760e-01	 5.3736e-01	 5.4951e-01	
 5.4650e-01	 5.3609e-01	 5.4491e-01	
 5.4780e-01	 5.3033e-01	 5.4711e-01	
 5.6240e-01	 5.3220e-01	 5.5891e-01	
 5.3950e-01	 5.2969e-01	 5.4371e-01	
 5.4320e-01	 5.3118e-01	 5.4711e-01	
 5.4180e-01	 5.2413e-01	 5.4151e-01	
 5.4120e-01	 5.2658e-01	 5.4831e-01	
 5.4000e-01	 5.2591e-01	 5.3951e-01	
 5.4060e-01	 5.2547e-01	 5.3391e-01	
 5.4070e-01	 5.2562e-01	 5.3651e-01	
 5.3650e-01	 5.2258e-01	 5.3851e-01	
 5.3850e-01	 5.2278e-01	 5.3491e-01	
 5.3430e-01	 5.2184e-01	 5.2831e-01	
 5.3900e-01	 5.1944e-01	 5.4071e-01	
 5.3670e-01	 5.1996e-01	 5.3031e-01	
 5.3140e-01	 5.1816e-01	 5.2490e-01	
 5.3210e-01	 5.1838e-01	 5.3791e-01	
 5.3840e-01	 5.1922e-01	 5.3311e-01	
 5.2960e-01	 5.1513e-01	 5.3531e-01	
 5.2640e-01	 5.1653e-01	 5.1950e-01	
 5.2780e-01	 5.1531e-01	 5.2631e-01	
 5.2570e-01	 5.1580e-01	 5.2070e-01	
 5.2480e-01	 5.1578e-01	 5.2250e-01	
 5.2870e-01	 5.1402e-01	 5.3351e-01	
 5.2770e-01	 5.1453e-01	 5.2470e-01	
 5.2810e-01	 5.1122e-01	 5.2831e-01	
 5.3460e-01	 5.0922e-01	 5.2991e-01	
 5.2620e-01	 5.1287e-01	 5.2210e-01	
 5.2160e-01	 5.0996e-01	 5.2490e-01	
 5.3050e-01	 5.0936e-01	 5.2611e-01	
 5.3230e-01	 5.0904e-01	 5.3831e-01	
 5.2900e-01	 5.0916e-01	 5.2831e-01	
 5.2070e-01	 5.0829e-01	 5.2310e-01	
 5.2370e-01	 5.0980e-01	 5.1630e-01	
 5.2350e-01	 5.0622e-01	 5.2110e-01	
 5.3820e-01	 5.0584e-01	 5.2711e-01	
 5.2310e-01	 5.0524e-01	 5.2851e-01	
 5.1570e-01	 5.0327e-01	 5.1130e-01	
 5.1820e-01	 5.0453e-01	 5.2330e-01	
 5.1940e-01	 5.0424e-01	 5.2050e-01	
 5.2470e-01	 5.0511e-01	 5.2611e-01	
 5.1780e-01	 5.0013e-01	 5.1470e-01	
 5.1520e-01	 5.0269e-01	 5.1130e-01	
 5.2790e-01	 5.0162e-01	 5.2170e-01	
 5.1860e-01	 5.0116e-01	 5.2010e-01	
 5.1580e-01	 5.0233e-01	 5.1070e-01	
 5.1890e-01	 5.0227e-01	 5.1830e-01	
 5.2330e-01	 4.9804e-01	 5.2150e-01	
 5.0660e-01	 4.9120e-01	 5.0710e-01	
 5.0880e-01	 4.8458e-01	 4.9910e-01	
 4.9990e-01	 4.8653e-01	 5.0010e-01	
 5.0460e-01	 4.8520e-01	 5.0890e-01	
 5.0700e-01	 4.8580e-01	 5.0690e-01	
 5.0520e-01	 4.8584e-01	 4.9710e-01	
 5.0330e-01	 4.8516e-01	 4.9950e-01	
 4.9600e-01	 4.8380e-01	 5.0190e-01	
 5.0730e-01	 4.8333e-01	 5.0030e-01	
 5.0280e-01	 4.8116e-01	 5.0090e-01	
 5.0450e-01	 4.8391e-01	 4.9990e-01	
 5.0400e-01	 4.8151e-01	 5.0250e-01	
 5.1110e-01	 4.8240e-01	 5.1250e-01	
 5.0560e-01	 4.8247e-01	 4.9870e-01	
 5.0100e-01	 4.8164e-01	 5.0270e-01	
 5.0200e-01	 4.7876e-01	 4.9710e-01	
 5.0440e-01	 4.8244e-01	 4.9950e-01	
 5.0590e-01	 4.8011e-01	 5.0430e-01	
 4.9910e-01	 4.8178e-01	 4.9590e-01	
 5.0750e-01	 4.8069e-01	 5.0910e-01	
 5.0670e-01	 4.8156e-01	 4.9810e-01	
 5.1450e-01	 4.8122e-01	 5.0870e-01	
 5.0590e-01	 4.8053e-01	 4.9910e-01	
 5.1450e-01	 4.7898e-01	 5.0830e-01	
 5.0680e-01	 4.8209e-01	 5.0070e-01	
 5.0040e-01	 4.7640e-01	 4.9390e-01	
 5.0130e-01	 4.7784e-01	 5.0410e-01	
 4.9230e-01	 4.7947e-01	 5.0050e-01	
 4.9970e-01	 4.7800e-01	 4.9530e-01	
 4.9570e-01	 4.7851e-01	 4.9410e-01	
 5.0140e-01	 4.7678e-01	 4.9410e-01	
 4.9450e-01	 4.7669e-01	 4.9350e-01	
 5.0540e-01	 4.7707e-01	 5.0530e-01	
 5.0050e-01	 4.7762e-01	 4.9230e-01	
 4.9880e-01	 4.7649e-01	 4.9710e-01	
 4.9550e-01	 4.7829e-01	 4.8770e-01	
 5.0420e-01	 4.7658e-01	 5.0610e-01	
 5.0870e-01	 4.7553e-01	 5.0250e-01	
 4.9650e-01	 4.7709e-01	 4.9630e-01	
 5.0260e-01	 4.7511e-01	 5.0390e-01	
 5.0520e-01	 4.7604e-01	 4.9790e-01	
 4.9700e-01	 4.7451e-01	 4.9230e-01	
 5.0820e-01	 4.7738e-01	 5.0930e-01	
 5.0770e-01	 4.7180e-01	 5.0550e-01	
 4.9850e-01	 4.7738e-01	 4.9490e-01	
 5.0360e-01	 4.7567e-01	 4.9770e-01	
 4.9430e-01	 4.7500e-01	 4.9550e-01	
 5.1140e-01	 4.7611e-01	 5.0170e-01	
 4.9890e-01	 4.7533e-01	 4.9670e-01	
 4.9290e-01	 4.7467e-01	 4.8950e-01	
 4.8270e-01	 4.6740e-01	 4.8170e-01	
 4.9490e-01	 4.6560e-01	 4.8710e-01	
 4.9170e-01	 4.6431e-01	 4.8830e-01	
 5.0230e-01	 4.6476e-01	 5.0230e-01	
 4.9280e-01	 4.6151e-01	 4.8770e-01	
 4.9860e-01	 4.6600e-01	 4.8450e-01	
 4.9540e-01	 4.6391e-01	 4.9010e-01	
 4.8930e-01	 4.6424e-01	 4.8650e-01	
 4.9380e-01	 4.6164e-01	 4.7930e-01	
 4.8970e-01	 4.6140e-01	 4.9110e-01	
 4.8810e-01	 4.6453e-01	 4.8830e-01	
 4.9040e-01	 4.6358e-01	 4.8410e-01	
 4.9840e-01	 4.6280e-01	 4.8750e-01	
 4.8600e-01	 4.6369e-01	 4.8050e-01	
 4.9420e-01	 4.6249e-01	 4.9290e-01	
 4.8660e-01	 4.6509e-01	 4.8350e-01	
 4.9670e-01	 4.6556e-01	 4.8930e-01	
 4.9440e-01	 4.6167e-01	 4.8870e-01	
 4.9350e-01	 4.6249e-01	 4.9330e-01	
 4.9360e-01	 4.6478e-01	 4.9290e-01	
 4.9120e-01	 4.5927e-01	 4.9530e-01	
