Test Error	Training Error	Valid Error	
 9.4544e-01	 9.8186e-01	 9.3448e-01	
 9.4544e-01	 9.5327e-01	 9.3448e-01	
 9.4544e-01	 9.4196e-01	 9.3448e-01	
 9.4544e-01	 9.4121e-01	 9.3448e-01	
 9.5150e-01	 9.3680e-01	 9.3935e-01	
 9.3331e-01	 9.3151e-01	 9.2138e-01	
 9.5116e-01	 9.2760e-01	 9.5395e-01	
 9.6295e-01	 9.1629e-01	 9.6406e-01	
 9.5520e-01	 9.0160e-01	 9.4347e-01	
 9.1108e-01	 8.8749e-01	 8.9854e-01	
 9.1782e-01	 8.7405e-01	 9.0565e-01	
 9.1108e-01	 8.7455e-01	 8.9854e-01	
 9.1782e-01	 8.7243e-01	 9.0565e-01	
 9.1782e-01	 8.7514e-01	 9.0565e-01	
 9.1108e-01	 8.7285e-01	 8.9854e-01	
 9.1108e-01	 8.7434e-01	 8.9854e-01	
 9.1748e-01	 8.7480e-01	 9.0490e-01	
 9.1782e-01	 8.7414e-01	 9.0565e-01	
 9.1782e-01	 8.7385e-01	 9.0565e-01	
 9.1108e-01	 8.7197e-01	 8.9854e-01	
 9.1782e-01	 8.7310e-01	 9.0565e-01	
 9.1108e-01	 8.7343e-01	 8.9854e-01	
 9.1108e-01	 8.7339e-01	 8.9854e-01	
 9.1108e-01	 8.7385e-01	 8.9854e-01	
