Test Error	Training Error	Valid Error	
 5.3200e-01	 6.2147e-01	 5.2500e-01	
 5.0620e-01	 4.0711e-01	 5.0980e-01	
 3.7730e-01	 3.2911e-01	 3.6780e-01	
 3.6240e-01	 2.8840e-01	 3.5580e-01	
 3.4940e-01	 2.6013e-01	 3.3820e-01	
 3.2270e-01	 2.4433e-01	 3.1100e-01	
 2.7630e-01	 2.3222e-01	 2.5920e-01	
 3.0810e-01	 2.2184e-01	 2.9120e-01	
 2.7020e-01	 2.1247e-01	 2.6020e-01	
 3.2950e-01	 2.0504e-01	 3.1460e-01	
 2.7800e-01	 1.9996e-01	 2.6700e-01	
 2.6040e-01	 1.9629e-01	 2.5000e-01	
 2.6050e-01	 1.9256e-01	 2.4900e-01	
 2.5950e-01	 1.8844e-01	 2.4500e-01	
 2.5550e-01	 1.8833e-01	 2.5040e-01	
 2.4160e-01	 1.8511e-01	 2.2720e-01	
 2.5240e-01	 1.8369e-01	 2.3500e-01	
 2.1990e-01	 1.8307e-01	 2.0600e-01	
 2.5050e-01	 1.8164e-01	 2.4020e-01	
 2.6480e-01	 1.7904e-01	 2.5140e-01	
 2.0630e-01	 1.4189e-01	 1.9480e-01	
 2.2330e-01	 1.2491e-01	 2.0740e-01	
 2.4290e-01	 1.2847e-01	 2.3320e-01	
 2.1160e-01	 1.2664e-01	 2.0060e-01	
 2.1380e-01	 1.2889e-01	 2.0280e-01	
 2.1620e-01	 1.2680e-01	 2.0720e-01	
 2.5910e-01	 1.2518e-01	 2.4520e-01	
 2.2130e-01	 1.2516e-01	 2.0480e-01	
 2.1220e-01	 1.2551e-01	 2.0920e-01	
 2.1670e-01	 1.2869e-01	 2.0380e-01	
 1.9730e-01	 1.2060e-01	 1.8720e-01	
 2.1080e-01	 1.2429e-01	 1.9460e-01	
 1.9070e-01	 1.2744e-01	 1.7920e-01	
 2.4230e-01	 1.2484e-01	 2.3080e-01	
 2.2590e-01	 1.2291e-01	 2.1380e-01	
 1.9800e-01	 1.2578e-01	 1.8780e-01	
 2.4200e-01	 1.2353e-01	 2.2920e-01	
 1.8790e-01	 1.2631e-01	 1.7820e-01	
 2.1950e-01	 1.2469e-01	 2.0300e-01	
 2.4400e-01	 1.2476e-01	 2.4240e-01	
 1.7130e-01	 9.4467e-02	 1.5260e-01	
 1.8740e-01	 7.9089e-02	 1.7300e-01	
 1.5870e-01	 7.0711e-02	 1.4520e-01	
 1.7870e-01	 7.1733e-02	 1.6320e-01	
 1.9510e-01	 7.1200e-02	 1.8420e-01	
 1.7560e-01	 6.9956e-02	 1.6700e-01	
 1.8220e-01	 6.8800e-02	 1.6120e-01	
 1.6920e-01	 6.8711e-02	 1.6120e-01	
 2.1150e-01	 6.9244e-02	 1.9580e-01	
 1.6500e-01	 6.8400e-02	 1.5220e-01	
 1.7140e-01	 6.8289e-02	 1.5300e-01	
 1.8870e-01	 6.9422e-02	 1.6940e-01	
 1.6450e-01	 6.7178e-02	 1.4620e-01	
 2.0050e-01	 6.9556e-02	 1.8820e-01	
 1.6880e-01	 6.6333e-02	 1.5860e-01	
 1.6310e-01	 6.8933e-02	 1.4740e-01	
 1.8790e-01	 6.4778e-02	 1.7440e-01	
 1.5900e-01	 6.8178e-02	 1.4460e-01	
 1.7160e-01	 6.7022e-02	 1.6160e-01	
 2.0190e-01	 6.6622e-02	 1.9600e-01	
 1.6440e-01	 4.8978e-02	 1.6020e-01	
 1.5840e-01	 3.9067e-02	 1.5260e-01	
 1.6060e-01	 3.7267e-02	 1.4800e-01	
 1.4620e-01	 3.4311e-02	 1.3520e-01	
 1.5590e-01	 3.3822e-02	 1.4960e-01	
 1.5240e-01	 3.1978e-02	 1.3760e-01	
 1.4920e-01	 3.0622e-02	 1.3560e-01	
 1.6300e-01	 3.0133e-02	 1.5100e-01	
 1.5310e-01	 2.9667e-02	 1.4260e-01	
 1.6030e-01	 2.8889e-02	 1.4260e-01	
 1.6540e-01	 2.6622e-02	 1.5240e-01	
 1.5270e-01	 2.7644e-02	 1.4620e-01	
 1.6140e-01	 2.7022e-02	 1.5500e-01	
 1.6220e-01	 2.6756e-02	 1.4860e-01	
 1.6020e-01	 2.7311e-02	 1.5660e-01	
 1.6070e-01	 2.5667e-02	 1.5280e-01	
 1.6120e-01	 2.7867e-02	 1.4740e-01	
 1.4570e-01	 2.6222e-02	 1.3540e-01	
 1.6270e-01	 2.6089e-02	 1.5200e-01	
 1.5420e-01	 2.5067e-02	 1.4460e-01	
 1.4860e-01	 2.0444e-02	 1.3460e-01	
 1.4770e-01	 1.7356e-02	 1.3740e-01	
 1.4610e-01	 1.5911e-02	 1.3880e-01	
 1.3730e-01	 1.5422e-02	 1.2820e-01	
 1.4560e-01	 1.5533e-02	 1.3720e-01	
 1.4470e-01	 1.3444e-02	 1.4400e-01	
 1.4380e-01	 1.3556e-02	 1.3480e-01	
 1.5120e-01	 1.3956e-02	 1.3880e-01	
 1.4850e-01	 1.4111e-02	 1.4000e-01	
 1.4960e-01	 1.3067e-02	 1.3380e-01	
 1.4580e-01	 1.3178e-02	 1.3340e-01	
 1.4580e-01	 1.2578e-02	 1.3000e-01	
 1.4680e-01	 1.2333e-02	 1.3760e-01	
 1.4650e-01	 1.2600e-02	 1.3640e-01	
 1.5620e-01	 1.3578e-02	 1.4560e-01	
 1.5590e-01	 1.1600e-02	 1.4480e-01	
 1.5260e-01	 1.0844e-02	 1.4460e-01	
 1.4380e-01	 1.0822e-02	 1.3600e-01	
 1.4700e-01	 1.1378e-02	 1.4000e-01	
 1.4740e-01	 1.1200e-02	 1.4080e-01	
 1.3880e-01	 9.5333e-03	 1.2980e-01	
 1.4500e-01	 8.8000e-03	 1.3560e-01	
 1.4970e-01	 8.0889e-03	 1.3860e-01	
 1.4180e-01	 8.1778e-03	 1.3540e-01	
