Test Error	Training Error	Valid Error	
 8.2314e-01	 8.0451e-01	 8.1288e-01	
 7.5218e-01	 6.8030e-01	 7.2053e-01	
 7.5218e-01	 6.2076e-01	 7.2053e-01	
 7.8493e-01	 6.0213e-01	 7.4727e-01	
 7.0306e-01	 5.8134e-01	 6.7922e-01	
 7.1070e-01	 5.5853e-01	 6.5371e-01	
 7.0524e-01	 5.4327e-01	 6.5978e-01	
 5.2948e-01	 5.1100e-01	 4.8724e-01	
 6.2991e-01	 4.4876e-01	 5.9052e-01	
 6.6921e-01	 3.8855e-01	 6.4399e-01	
 4.2686e-01	 3.7694e-01	 4.1434e-01	
 4.6834e-01	 3.8342e-01	 4.6780e-01	
 3.9629e-01	 3.8018e-01	 3.8396e-01	
 3.6900e-01	 3.8626e-01	 3.7424e-01	
 3.9410e-01	 3.8464e-01	 4.0462e-01	
 3.6900e-01	 3.7951e-01	 3.7424e-01	
 3.8646e-01	 3.7964e-01	 3.9004e-01	
 4.1485e-01	 3.7681e-01	 4.0462e-01	
 4.0175e-01	 3.8099e-01	 3.8761e-01	
 3.8428e-01	 3.7654e-01	 3.7667e-01	
 4.8472e-01	 3.8221e-01	 4.5808e-01	
 3.9192e-01	 3.8113e-01	 3.8153e-01	
 3.9410e-01	 3.8275e-01	 3.7424e-01	
 4.9017e-01	 3.8032e-01	 4.6173e-01	
 3.9192e-01	 3.8207e-01	 3.8153e-01	
 3.8428e-01	 3.8113e-01	 3.7667e-01	
 4.0611e-01	 3.8032e-01	 4.0462e-01	
 4.6397e-01	 3.8302e-01	 4.5808e-01	
 4.1157e-01	 3.8005e-01	 3.9490e-01	
 3.9192e-01	 3.7775e-01	 3.8153e-01	
 4.7162e-01	 3.7816e-01	 4.6416e-01	
 4.5852e-01	 3.8302e-01	 4.7023e-01	
 3.9956e-01	 3.8275e-01	 3.8518e-01	
 4.0611e-01	 3.8207e-01	 3.9611e-01	
 4.9236e-01	 3.8383e-01	 4.7995e-01	
 3.7773e-01	 3.8329e-01	 3.8882e-01	
 4.0284e-01	 3.8288e-01	 3.8882e-01	
 4.2249e-01	 3.7883e-01	 4.0097e-01	
 3.8755e-01	 3.8113e-01	 3.8761e-01	
 4.1703e-01	 3.8005e-01	 4.1191e-01	
 3.6790e-01	 3.7667e-01	 3.6817e-01	
 4.9563e-01	 3.8329e-01	 4.7145e-01	
 3.8428e-01	 3.8194e-01	 3.7667e-01	
 3.8428e-01	 3.8018e-01	 3.7667e-01	
 3.9738e-01	 3.8410e-01	 3.9004e-01	
 3.7227e-01	 3.8423e-01	 3.7667e-01	
 3.7555e-01	 3.7978e-01	 3.7303e-01	
 3.9520e-01	 3.7924e-01	 3.8396e-01	
 3.9301e-01	 3.7991e-01	 3.9125e-01	
 4.1921e-01	 3.8275e-01	 4.1312e-01	
 3.8319e-01	 3.7883e-01	 3.9733e-01	
 4.2686e-01	 3.8396e-01	 4.1434e-01	
 5.0000e-01	 3.7883e-01	 4.8238e-01	
 4.5852e-01	 3.8113e-01	 4.4107e-01	
 4.1921e-01	 3.7856e-01	 4.0826e-01	
 3.8428e-01	 3.7883e-01	 3.7667e-01	
 4.6179e-01	 3.8504e-01	 4.5687e-01	
 3.9301e-01	 3.8518e-01	 3.9490e-01	
 3.8100e-01	 3.7856e-01	 3.8032e-01	
 3.9629e-01	 3.8369e-01	 3.8275e-01	
 3.8428e-01	 3.8599e-01	 3.7667e-01	
 4.9454e-01	 3.7924e-01	 4.6659e-01	
 3.9520e-01	 3.8045e-01	 3.8882e-01	
 3.7227e-01	 3.8140e-01	 3.8518e-01	
 4.8799e-01	 3.8167e-01	 4.6659e-01	
 3.7664e-01	 3.7735e-01	 3.7181e-01	
 3.8428e-01	 3.8113e-01	 3.7667e-01	
 4.0066e-01	 3.7843e-01	 3.8761e-01	
 4.1376e-01	 3.8180e-01	 4.0097e-01	
 3.7773e-01	 3.7951e-01	 3.6695e-01	
