Test Error	Training Error	Valid Error	
 7.6965e-01	 7.6293e-01	 7.4727e-01	
 7.3362e-01	 6.3494e-01	 7.0352e-01	
 6.2118e-01	 5.8674e-01	 5.8080e-01	
 6.0153e-01	 5.5245e-01	 5.5893e-01	
 5.1092e-01	 5.0655e-01	 4.6051e-01	
 4.0393e-01	 4.5565e-01	 3.6695e-01	
 2.5546e-01	 3.7100e-01	 2.7096e-01	
 1.8450e-01	 2.8055e-01	 2.1264e-01	
 1.5830e-01	 2.1750e-01	 1.6889e-01	
 1.9978e-01	 1.8915e-01	 1.8348e-01	
 1.4956e-01	 1.6417e-01	 1.4581e-01	
 1.2445e-01	 1.6187e-01	 1.3366e-01	
 1.2227e-01	 1.6687e-01	 1.3244e-01	
 1.3974e-01	 1.6039e-01	 1.5431e-01	
 1.4520e-01	 1.6538e-01	 1.3973e-01	
 1.2773e-01	 1.6160e-01	 1.3852e-01	
 1.2227e-01	 1.6282e-01	 1.3244e-01	
 1.4520e-01	 1.6160e-01	 1.3973e-01	
 1.3537e-01	 1.6268e-01	 1.3001e-01	
 1.2227e-01	 1.5782e-01	 1.3244e-01	
 1.2227e-01	 1.5809e-01	 1.3244e-01	
 1.2227e-01	 1.6349e-01	 1.3244e-01	
 1.3646e-01	 1.6025e-01	 1.4824e-01	
 1.2227e-01	 1.5998e-01	 1.3244e-01	
 1.3646e-01	 1.6025e-01	 1.4824e-01	
 1.6594e-01	 1.5796e-01	 1.6525e-01	
 1.2227e-01	 1.6214e-01	 1.3244e-01	
 1.2664e-01	 1.5985e-01	 1.3852e-01	
 1.3974e-01	 1.5850e-01	 1.5431e-01	
 1.2445e-01	 1.5917e-01	 1.3366e-01	
 1.2664e-01	 1.6390e-01	 1.3852e-01	
 1.2991e-01	 1.5782e-01	 1.4338e-01	
 1.4847e-01	 1.6120e-01	 1.4459e-01	
 1.2227e-01	 1.6147e-01	 1.3244e-01	
 1.2227e-01	 1.6390e-01	 1.3244e-01	
 1.2664e-01	 1.5850e-01	 1.3852e-01	
 1.3210e-01	 1.5877e-01	 1.4216e-01	
 1.4520e-01	 1.6376e-01	 1.3973e-01	
 1.2664e-01	 1.6147e-01	 1.3852e-01	
 1.2227e-01	 1.5904e-01	 1.3244e-01	
 1.2555e-01	 1.6349e-01	 1.3730e-01	
 1.2227e-01	 1.5944e-01	 1.3244e-01	
 1.3537e-01	 1.5877e-01	 1.3001e-01	
 1.2227e-01	 1.6093e-01	 1.3244e-01	
 1.2664e-01	 1.6457e-01	 1.3852e-01	
 1.4520e-01	 1.6606e-01	 1.3973e-01	
 1.2991e-01	 1.6282e-01	 1.4338e-01	
 1.5611e-01	 1.6093e-01	 1.5188e-01	
 1.4847e-01	 1.6498e-01	 1.4459e-01	
 1.2009e-01	 1.6174e-01	 1.2758e-01	
 1.3210e-01	 1.6241e-01	 1.4216e-01	
 1.3537e-01	 1.5985e-01	 1.4702e-01	
 1.5939e-01	 1.6349e-01	 1.5310e-01	
 1.3428e-01	 1.6214e-01	 1.5067e-01	
 1.2227e-01	 1.6201e-01	 1.3244e-01	
 1.2664e-01	 1.6079e-01	 1.3852e-01	
 1.2664e-01	 1.6025e-01	 1.3852e-01	
 1.3210e-01	 1.6525e-01	 1.4216e-01	
 1.2664e-01	 1.6295e-01	 1.3852e-01	
 1.2664e-01	 1.6147e-01	 1.3852e-01	
 1.2991e-01	 1.6282e-01	 1.4338e-01	
 1.3210e-01	 1.6687e-01	 1.4216e-01	
 1.2227e-01	 1.6106e-01	 1.3244e-01	
 1.2227e-01	 1.6079e-01	 1.3244e-01	
 1.2664e-01	 1.6039e-01	 1.3852e-01	
 1.4192e-01	 1.6228e-01	 1.5553e-01	
 1.2445e-01	 1.6093e-01	 1.3366e-01	
 1.2227e-01	 1.5877e-01	 1.3244e-01	
 1.2227e-01	 1.6579e-01	 1.3244e-01	
 1.2445e-01	 1.6255e-01	 1.3487e-01	
 1.3319e-01	 1.6336e-01	 1.4459e-01	
 1.2227e-01	 1.5904e-01	 1.3244e-01	
 1.2664e-01	 1.6282e-01	 1.3852e-01	
 1.2227e-01	 1.5958e-01	 1.3244e-01	
 1.6266e-01	 1.6174e-01	 1.6160e-01	
 1.2227e-01	 1.6322e-01	 1.3244e-01	
 1.4192e-01	 1.6430e-01	 1.5553e-01	
 1.4520e-01	 1.5796e-01	 1.3973e-01	
 1.4520e-01	 1.6498e-01	 1.3973e-01	
 1.3428e-01	 1.5985e-01	 1.5067e-01	
 1.4410e-01	 1.6255e-01	 1.6039e-01	
 1.2664e-01	 1.6376e-01	 1.3852e-01	
 1.3100e-01	 1.6106e-01	 1.4581e-01	
 1.4956e-01	 1.6120e-01	 1.4581e-01	
 1.2227e-01	 1.6282e-01	 1.3244e-01	
 1.2227e-01	 1.6160e-01	 1.3244e-01	
 1.4520e-01	 1.6214e-01	 1.3973e-01	
 1.2664e-01	 1.6174e-01	 1.3973e-01	
 1.2227e-01	 1.6214e-01	 1.3244e-01	
 1.2445e-01	 1.6390e-01	 1.3366e-01	
 1.3646e-01	 1.6187e-01	 1.4945e-01	
 1.4410e-01	 1.6160e-01	 1.6039e-01	
 1.2227e-01	 1.6052e-01	 1.3244e-01	
 1.4520e-01	 1.5944e-01	 1.3973e-01	
 1.2664e-01	 1.5890e-01	 1.3852e-01	
 1.7795e-01	 1.6160e-01	 1.7983e-01	
 1.3755e-01	 1.6201e-01	 1.4945e-01	
 1.3755e-01	 1.6376e-01	 1.4945e-01	
 1.4847e-01	 1.5998e-01	 1.4459e-01	
 1.4410e-01	 1.6093e-01	 1.6039e-01	
 1.3210e-01	 1.6093e-01	 1.4216e-01	
 1.3210e-01	 1.6390e-01	 1.4216e-01	
 1.2664e-01	 1.6417e-01	 1.3973e-01	
 1.3210e-01	 1.5485e-01	 1.4216e-01	
 1.2227e-01	 1.6066e-01	 1.3244e-01	
 1.2227e-01	 1.6174e-01	 1.3244e-01	
 1.3100e-01	 1.5944e-01	 1.3973e-01	
 1.6703e-01	 1.6241e-01	 1.6768e-01	
 1.2227e-01	 1.6255e-01	 1.3244e-01	
 1.4301e-01	 1.6444e-01	 1.3487e-01	
 1.4847e-01	 1.6579e-01	 1.6039e-01	
