Test Error	Training Error	Valid Error	
 4.5480e-01	 5.3298e-01	 4.4220e-01	
 3.9500e-01	 3.4978e-01	 3.7980e-01	
 3.0610e-01	 3.0136e-01	 3.0260e-01	
 3.2200e-01	 2.7424e-01	 3.1240e-01	
 3.1780e-01	 2.6349e-01	 3.0920e-01	
 2.7710e-01	 2.5238e-01	 2.7840e-01	
 2.6710e-01	 2.4522e-01	 2.5740e-01	
 2.4970e-01	 2.3916e-01	 2.4100e-01	
 2.5600e-01	 2.3636e-01	 2.6260e-01	
 2.5570e-01	 2.3298e-01	 2.4700e-01	
 2.6830e-01	 2.3171e-01	 2.6000e-01	
 2.5710e-01	 2.2522e-01	 2.4820e-01	
 2.6700e-01	 2.2600e-01	 2.6500e-01	
 3.1270e-01	 2.2671e-01	 3.0880e-01	
 2.4800e-01	 2.2498e-01	 2.4440e-01	
 2.4940e-01	 2.2284e-01	 2.3600e-01	
 2.5040e-01	 2.2527e-01	 2.4380e-01	
 2.3340e-01	 2.2364e-01	 2.3460e-01	
 2.3660e-01	 2.2358e-01	 2.2880e-01	
 2.3940e-01	 2.2071e-01	 2.3620e-01	
 2.4730e-01	 2.1911e-01	 2.4120e-01	
 2.3220e-01	 2.2036e-01	 2.2580e-01	
 2.4520e-01	 2.1724e-01	 2.3580e-01	
 3.2900e-01	 2.1638e-01	 3.1620e-01	
 3.1340e-01	 2.1976e-01	 3.0340e-01	
 2.4750e-01	 2.1820e-01	 2.4680e-01	
 2.3390e-01	 2.1953e-01	 2.2540e-01	
 2.6080e-01	 2.2033e-01	 2.4100e-01	
 2.6400e-01	 2.2000e-01	 2.6440e-01	
 2.3980e-01	 2.1716e-01	 2.3060e-01	
 2.5710e-01	 2.1982e-01	 2.4400e-01	
 2.6020e-01	 2.2082e-01	 2.4320e-01	
 2.5190e-01	 2.1598e-01	 2.3860e-01	
 2.8890e-01	 2.1791e-01	 2.7580e-01	
 2.9330e-01	 2.1876e-01	 2.7540e-01	
 3.2640e-01	 2.1776e-01	 3.1880e-01	
 2.6760e-01	 2.1987e-01	 2.4980e-01	
 2.5780e-01	 2.1698e-01	 2.4160e-01	
 2.3980e-01	 2.1849e-01	 2.3360e-01	
 2.6190e-01	 2.1876e-01	 2.5940e-01	
 2.9970e-01	 2.1820e-01	 2.8220e-01	
 2.5920e-01	 2.1836e-01	 2.5000e-01	
 2.7740e-01	 2.1727e-01	 2.6320e-01	
 2.8570e-01	 2.1742e-01	 2.7020e-01	
 2.8310e-01	 2.1953e-01	 2.6340e-01	
 2.4260e-01	 2.1624e-01	 2.3780e-01	
 3.0800e-01	 2.1842e-01	 2.8880e-01	
 3.2490e-01	 2.1569e-01	 3.1120e-01	
 2.9280e-01	 2.1998e-01	 2.7400e-01	
 2.5140e-01	 2.1556e-01	 2.3960e-01	
 2.2940e-01	 1.7569e-01	 2.2100e-01	
 2.3480e-01	 1.6527e-01	 2.2340e-01	
 2.5750e-01	 1.6271e-01	 2.4500e-01	
 1.8720e-01	 1.6140e-01	 1.8100e-01	
 2.0260e-01	 1.6033e-01	 1.9200e-01	
 2.3290e-01	 1.5878e-01	 2.1100e-01	
 1.9720e-01	 1.5847e-01	 1.8280e-01	
 2.0440e-01	 1.6033e-01	 1.9120e-01	
 2.1540e-01	 1.5782e-01	 2.0040e-01	
 2.1870e-01	 1.5704e-01	 2.0780e-01	
 1.8990e-01	 1.6102e-01	 1.8120e-01	
 2.5100e-01	 1.5853e-01	 2.4300e-01	
 2.1770e-01	 1.5587e-01	 2.0880e-01	
 2.3640e-01	 1.5798e-01	 2.1960e-01	
 1.9190e-01	 1.5627e-01	 1.8360e-01	
 2.2720e-01	 1.5800e-01	 2.2380e-01	
 2.0400e-01	 1.5836e-01	 1.9160e-01	
 1.9730e-01	 1.5762e-01	 1.9320e-01	
 2.1480e-01	 1.5758e-01	 1.9200e-01	
 1.8460e-01	 1.5707e-01	 1.8100e-01	
 2.1780e-01	 1.5836e-01	 2.0840e-01	
 2.2070e-01	 1.5660e-01	 2.2140e-01	
 2.3970e-01	 1.5500e-01	 2.3320e-01	
 2.1670e-01	 1.5856e-01	 2.0980e-01	
 1.9120e-01	 1.5622e-01	 1.7380e-01	
 2.0220e-01	 1.5704e-01	 1.9040e-01	
 1.9900e-01	 1.5762e-01	 1.9880e-01	
 2.2770e-01	 1.5862e-01	 2.0980e-01	
 2.0610e-01	 1.5771e-01	 2.0000e-01	
 2.0300e-01	 1.5504e-01	 1.9280e-01	
 1.9010e-01	 1.5704e-01	 1.9140e-01	
 2.1610e-01	 1.5542e-01	 2.0920e-01	
 1.9750e-01	 1.5609e-01	 1.7780e-01	
 2.1500e-01	 1.5438e-01	 2.0820e-01	
 2.7240e-01	 1.5716e-01	 2.7040e-01	
 1.9930e-01	 1.5527e-01	 1.8760e-01	
 1.9060e-01	 1.5889e-01	 1.8880e-01	
 2.4290e-01	 1.5493e-01	 2.2440e-01	
 2.1180e-01	 1.5742e-01	 1.9900e-01	
 1.8160e-01	 1.5449e-01	 1.7420e-01	
