Test Error	Training Error	Valid Error	
 9.5150e-01	 9.8044e-01	 9.3935e-01	
 9.4173e-01	 9.4824e-01	 9.2924e-01	
 9.4173e-01	 9.3264e-01	 9.2924e-01	
 9.3870e-01	 9.2057e-01	 9.2400e-01	
 9.4645e-01	 9.1200e-01	 9.2887e-01	
 8.9693e-01	 8.7967e-01	 8.8581e-01	
 8.3563e-01	 8.3973e-01	 8.3602e-01	
 7.9993e-01	 7.8730e-01	 7.9596e-01	
 6.8744e-01	 7.1906e-01	 6.7990e-01	
 6.3052e-01	 6.3934e-01	 6.2186e-01	
 6.1906e-01	 5.9333e-01	 6.1213e-01	
 6.1401e-01	 5.9453e-01	 6.0876e-01	
 6.0020e-01	 5.9137e-01	 5.9416e-01	
 6.1671e-01	 5.8975e-01	 6.0951e-01	
 5.9919e-01	 5.8966e-01	 5.9416e-01	
 6.2108e-01	 5.9091e-01	 6.1363e-01	
 6.0424e-01	 5.9175e-01	 5.9978e-01	
 6.0626e-01	 5.8808e-01	 6.0277e-01	
 6.0593e-01	 5.8954e-01	 6.0127e-01	
 6.0997e-01	 5.8954e-01	 6.0577e-01	
 6.0054e-01	 5.9120e-01	 5.9416e-01	
 6.2513e-01	 5.9000e-01	 6.1887e-01	
 6.0121e-01	 5.9075e-01	 5.9528e-01	
 5.9515e-01	 5.9175e-01	 5.9229e-01	
 6.0626e-01	 5.9108e-01	 6.0202e-01	
 6.0290e-01	 5.9008e-01	 5.9753e-01	
 5.9784e-01	 5.8829e-01	 5.9229e-01	
 6.2176e-01	 5.9012e-01	 6.1587e-01	
 5.9818e-01	 5.8887e-01	 5.9116e-01	
 6.0997e-01	 5.9004e-01	 6.0577e-01	
 6.3624e-01	 5.9195e-01	 6.2973e-01	
 6.2782e-01	 5.9154e-01	 6.2112e-01	
 6.1098e-01	 5.9170e-01	 6.0614e-01	
 6.3119e-01	 5.9199e-01	 6.2486e-01	
 6.0458e-01	 5.9100e-01	 5.9790e-01	
 6.3119e-01	 5.9120e-01	 6.2486e-01	
 6.2782e-01	 5.9133e-01	 6.2112e-01	
 6.1873e-01	 5.8958e-01	 6.1176e-01	
 6.1300e-01	 5.9075e-01	 6.0764e-01	
 6.0458e-01	 5.9337e-01	 6.0202e-01	
 6.0088e-01	 5.9179e-01	 5.9416e-01	
 6.3523e-01	 5.9133e-01	 6.3122e-01	
 6.0054e-01	 5.8991e-01	 5.9379e-01	
 6.1098e-01	 5.9054e-01	 6.0539e-01	
 6.0155e-01	 5.8966e-01	 5.9828e-01	
 6.0189e-01	 5.9387e-01	 5.9603e-01	
 5.9784e-01	 5.8983e-01	 5.9229e-01	
 6.0391e-01	 5.9212e-01	 5.9790e-01	
 6.0222e-01	 5.9083e-01	 5.9641e-01	
 5.9414e-01	 5.9021e-01	 5.8667e-01	
 5.9919e-01	 5.9387e-01	 5.9603e-01	
 6.0424e-01	 5.9441e-01	 6.0165e-01	
 6.1839e-01	 5.8925e-01	 6.1101e-01	
 6.3186e-01	 5.9050e-01	 6.2673e-01	
 5.9616e-01	 5.8887e-01	 5.9191e-01	
 6.4803e-01	 5.8979e-01	 6.4283e-01	
 6.3119e-01	 5.9166e-01	 6.2374e-01	
 6.0728e-01	 5.9046e-01	 6.0090e-01	
 6.0155e-01	 5.9070e-01	 5.9603e-01	
 6.4466e-01	 5.8842e-01	 6.3721e-01	
 5.9953e-01	 5.8971e-01	 5.9641e-01	
 6.0829e-01	 5.9104e-01	 6.0614e-01	
 6.2344e-01	 5.8925e-01	 6.1849e-01	
 6.1266e-01	 5.9191e-01	 6.0651e-01	
 5.9953e-01	 5.9241e-01	 5.9416e-01	
 6.2883e-01	 5.8991e-01	 6.2636e-01	
 6.0357e-01	 5.9116e-01	 5.9865e-01	
 5.9144e-01	 5.9108e-01	 5.8705e-01	
